language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
svwiki,Swedish,4,4,408,1638,0.24,0.98,100.0,4.0833
svwiki,Danish,2,2,408,1638,0.12,0.49,100.0,4.0833
svwiki,Spanish,2,11,408,1638,0.67,0.49,18.18,0.7313
svwiki,Austrian/Habsburg,1,1,408,1638,0.06,0.25,100.0,4.1667
svwiki,Czech,1,1,408,1638,0.06,0.25,100.0,4.1667
svwiki,Portuguese,1,1,408,1638,0.06,0.25,100.0,4.1667
svwiki,Dutch,0,3,408,1638,0.18,0.0,0.0,0.0
svwiki,Estonian,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Greek,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Haitian/Caribbean,0,2,408,1638,0.12,0.0,0.0,0.0
svwiki,Hungarian,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Low Countries,0,3,408,1638,0.18,0.0,0.0,0.0
svwiki,Ottoman,0,2,408,1638,0.12,0.0,0.0,0.0
svwiki,Polish,0,2,408,1638,0.12,0.0,0.0,0.0
svwiki,Slovak,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Slovene,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,South Asian,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,no_mapped_place_affiliation,0,1,408,1638,0.06,0.0,0.0,0.0
ukwiki,France,138,1265,229,1638,77.23,60.26,10.91,0.7803
ukwiki,mixed_or_ambiguous,47,222,229,1638,13.55,20.52,21.17,1.5144
ukwiki,British,11,21,229,1638,1.28,4.8,52.38,3.75
ukwiki,Germany,8,22,229,1638,1.34,3.49,36.36,2.6045
ukwiki,Russian,8,16,229,1638,0.98,3.49,50.0,3.5612
ukwiki,Anglophone,6,9,229,1638,0.55,2.62,66.67,4.7636
ukwiki,Italian,3,18,229,1638,1.1,1.31,16.67,1.1909
ukwiki,Swedish,2,4,229,1638,0.24,0.87,50.0,3.625
ukwiki,Swiss,2,26,229,1638,1.59,0.87,7.69,0.5472
ukwiki,Austrian/Habsburg,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,Czech,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,Portuguese,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,no_mapped_place_affiliation,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,Danish,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,Dutch,0,3,229,1638,0.18,0.0,0.0,0.0
ukwiki,Estonian,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Greek,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Haitian/Caribbean,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,Hungarian,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Low Countries,0,3,229,1638,0.18,0.0,0.0,0.0
ukwiki,Ottoman,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,Polish,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,Slovak,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Slovene,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,South Asian,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Spanish,0,11,229,1638,0.67,0.0,0.0,0.0
