wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q109855105,Charles Boucher,France,2,2,2,1.0,birth_place | death_place,La Flèche (Q343) | Montbazon (Q693996),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2958748,Charles Coffin,France,2,2,2,1.0,birth_place | death_place,Buzancy (Q609927) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2404425,Charles Collé,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2410766,Charles César Robin,France,1,1,1,1.0,birth_place,Tamnay-en-Bazois (Q33827),Q142,True,False,False,False
http://www.wikidata.org/entity/Q181707,Charles Fourier,France,2,2,2,1.0,birth_place | death_place,Besançon (Q37776) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q345455,Charles François de Cisternay du Fay,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q106596262,Charles Gaignard,France,2,2,1,0.5,birth_place,Bonnœuvre (Q1115785),Q142,True,False,False,False
http://www.wikidata.org/entity/Q106596262,Charles Gaignard,Spanish,2,2,1,0.5,death_place,Santander (Q12233),Q29,False,True,False,False
http://www.wikidata.org/entity/Q726681,Charles Gravier de Vergennes,France,2,2,2,1.0,birth_place | death_place,Dijon (Q7003) | Versailles (Q621),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q3127563,Charles Harny de Guerville,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Saint-Germain-en-Laye (Q60847808),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q21587671,Charles Jacob Guillemain,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
