wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q55227915,Marco Faustino Gagliuffi,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q55227915,Marco Faustino Gagliuffi,Italian,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q66314588,Marguerite Daubenton,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q66314588,Marguerite Daubenton,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3290788,"Marguerite de Launay, baronne Staal",France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3290788,"Marguerite de Launay, baronne Staal",French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3290779,Marguerite de Lubert,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3290779,Marguerite de Lubert,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q3290780,Marguerite de Lussan,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3290780,Marguerite de Lussan,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q4328354,Maria Stella Sternberg,Anglophone,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q4328354,Maria Stella Sternberg,French,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q4328354,Maria Stella Sternberg,Italian,3,True,True,True,False,3,1.0
http://www.wikidata.org/entity/Q1117956,Marianna Dionigi,French,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q19630307,Marianne-Agnès Falques,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q19630307,Marianne-Agnès Falques,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q15967281,Marie Alexandre de Théis,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q15967281,Marie Alexandre de Théis,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q297785,"Marie Anne de Vichy-Chamrond, marquise du Deffand",France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q297785,"Marie Anne de Vichy-Chamrond, marquise du Deffand",French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q117075,Marie Huber,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q117075,Marie Huber,Swiss,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q115937511,Marie Jeanne Desroches,France,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q231674,Marie Leszczyńska,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q231674,Marie Leszczyńska,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q231674,Marie Leszczyńska,Polish,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3292670,Marie Louise Mignot,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3292670,Marie Louise Mignot,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3292742,Marie Prudence Plisson,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3292742,Marie Prudence Plisson,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q15967131,Marie de Louvencourt,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q15967131,Marie de Louvencourt,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q25112405,Marie Élisabeth de La Fite,France,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q3291427,Marie-Adélaïde Barthélemy-Hadot,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3291427,Marie-Adélaïde Barthélemy-Hadot,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q56753780,Marie-Amable Petiteau,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q56753780,Marie-Amable Petiteau,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q60536863,Marie-Anne Carrelet de Marron,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q60536863,Marie-Anne Carrelet de Marron,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q262106,Marie-Anne Lenormand,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q262106,Marie-Anne Lenormand,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q27865932,Marie-Anne de Rathsamhausen,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q27865932,Marie-Anne de Rathsamhausen,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q100879781,Marie-Antoinette Fagnan,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q100879781,Marie-Antoinette Fagnan,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3291589,Marie-Catherine Sentuary,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3291589,Marie-Catherine Sentuary,French,2,False,False,True,False,1,0.5
