wikidata_id,name,source_row_count,birth_year_values,birth_place_values,occupation_raw,citizenship_ids,native_language_ids,spoken_written_language_ids,writing_language_ids,gender_ids,ethnic_group_ids,occupation_ids,occupation_labels,writerly_occupation_ids,nonwriter_occupation_ids,entity_label_languages,entity_description_languages,duplicate_row_count,wikipedia_sitelink_count,european_label_count,european_description_count,has_duplicate_wikidata_id,name_is_qid,birth_place_is_qid,viaf_has_conflict,has_frwiki,has_enwiki,has_dewiki,has_itwiki,has_eswiki,has_plwiki,has_ruwiki,has_ukwiki,has_nlwiki,has_ptwiki,has_svwiki,has_dawiki,gender_category,occupation_raw_tokens,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status,place_affiliation_category
http://www.wikidata.org/entity/Q3086147,François de Chennevières,1,1699,La Rochefoucauld,"librettiste, dramaturge, poète ou poétesse",Q142,,Q150,,Q6581097,,Q214917 | Q49757 | Q8178443,dramaturge | librettiste | poète ou poétesse,Q214917 | Q49757 | Q8178443,,da | de | en | es | fr | it | nl | sv,da | en | fr | nl | sv,1,2,8,5,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,male,dramaturge | librettiste | poète ou poétesse,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q1499981,François-Alexandre Aubert de La Chesnaye Des Bois,1,1699,Ernée,écrivain ou écrivaine,Q142,,Q150,Q150,Q6581097,,Q1930187 | Q3055126 | Q36180 | Q8963721,entomologiste | généalogiste | journaliste | écrivain ou écrivaine,Q1930187 | Q36180,Q3055126 | Q8963721,da | de | en | es | fr | it | nl | pl | pt | ru | sv,de | en | es | fr | it | nl | ru,1,5,11,7,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q3083281,François-Antoine Chevrier,1,1721,Nancy,dramaturge,Q142,Q150,Q150,Q150,Q6581097,,Q214917,dramaturge,Q214917,,da | de | en | es | fr | it | nl | pt | ru | sv,en | es | fr | it | nl | pt,1,4,10,6,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,male,dramaturge,2,2,2,,Dutch | France,1,1,0.5,2,mixed_place_top_score,mixed_or_ambiguous
http://www.wikidata.org/entity/Q3083283,François-Antoine Devaux,1,1712,Lunéville,"dramaturge, poète ou poétesse",Q142,,Q150,,Q6581097,,Q214917 | Q49757,dramaturge | poète ou poétesse,Q214917 | Q49757,,da | de | en | es | fr | it | nl | pt | sv,en | es | fr | it | nl | pt | ru | uk,1,2,9,8,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,male,dramaturge | poète ou poétesse,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q21535099,François-Antoine Quétant,1,1733,Paris,"librettiste, dramaturge",Q142,,Q150,,Q6581097,,Q214917 | Q8178443,dramaturge | librettiste,Q214917 | Q8178443,,da | de | en | es | fr | it | nl | sv,fr,1,1,8,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,male,dramaturge | librettiste,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q1450807,François-Antoine de Boissy d'Anglas,1,1756,Saint-Jean-Chambre,biographe,Q142,,Q150,,Q6581097,,Q82955 | Q864380,biographe | personnalité politique,Q864380,Q82955,da | de | en | es | fr | it | nl | pl | pt | ru | sv,da | de | en | es | fr | it | nl | pl | pt | sv | uk,1,12,11,11,False,False,False,False,True,True,True,True,False,False,True,False,True,False,True,False,male,biographe,3,3,1,France,France,3,0,1.0,1,strong_place,France
http://www.wikidata.org/entity/Q3083296,François-Arnoul Poisson de Roinville,1,1696,Paris,dramaturge,Q142,Q150,Q150,,Q6581097,,Q214917 | Q33999,acteur ou actrice | dramaturge,Q214917,Q33999,da | de | en | es | fr | it | nl | pt | sv,da | de | en | es | fr | it | nl | pt | ru | sv | uk,1,4,9,11,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,male,dramaturge,1,1,1,France,France,1,0,1.0,1,single_place_signal,France
http://www.wikidata.org/entity/Q3083300,François-Auguste Fauveau de Frénilly,1,1768,Paris,"poète ou poétesse, écrivain ou écrivaine",Q142,Q150,Q150,,Q6581097,,Q193391 | Q36180 | Q49757 | Q82955,diplomate | personnalité politique | poète ou poétesse | écrivain ou écrivaine,Q36180 | Q49757,Q193391 | Q82955,da | de | en | es | fr | it | nl | pl | pt | ru | sv,da | de | en | es | fr | nl | pl | pt | sv | uk,1,4,11,10,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,male,poète ou poétesse | écrivain ou écrivaine,3,3,4,France,France,2,1,0.6667,1,tentative_place,France
http://www.wikidata.org/entity/Q1450817,François-Auguste Parseval-Grandmaison,1,1759,Paris,"poète ou poétesse, écrivain ou écrivaine",Q142,,Q150,Q150,Q6581097,,Q1028181 | Q333634 | Q36180 | Q49757,artiste peintre | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,Q36180 | Q49757,Q1028181 | Q333634,da | de | en | es | fr | it | nl | pt | ru | sv | uk,da | de | en | es | fr | it | nl | ru | sv,1,9,11,9,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,male,poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q375270,François-Augustin de Paradis de Moncrif,1,1687,Paris,"librettiste, poète ou poétesse, dramaturge, écrivain ou écrivaine",Q70972,Q150,Q150,,Q6581097,,Q214917 | Q2490358 | Q36180 | Q49757 | Q8178443,chorégraphe | dramaturge | librettiste | poète ou poétesse | écrivain ou écrivaine,Q214917 | Q36180 | Q49757 | Q8178443,Q2490358,de | en | es | fr | it | nl | ru | sv,de | en | es | fr | it | nl | pt | ru | sv | uk,1,7,8,10,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,male,dramaturge | librettiste | poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q539301,François-Benoît Hoffmann,1,1760,Nancy,"librettiste, poète ou poétesse, dramaturge, écrivain ou écrivaine",Q142,Q150,Q150,Q150,Q6581097,,Q1930187 | Q214917 | Q36180 | Q4263842 | Q49757 | Q6430706 | Q8178443,critique | critique littéraire | dramaturge | journaliste | librettiste | poète ou poétesse | écrivain ou écrivaine,Q1930187 | Q214917 | Q36180 | Q4263842 | Q49757 | Q6430706 | Q8178443,,da | de | en | es | fr | it | nl | pl | pt | ru | sv,de | en | es | fr | it | nl,1,8,11,6,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,male,dramaturge | librettiste | poète ou poétesse | écrivain ou écrivaine,3,3,1,France,France,3,0,1.0,1,strong_place,France
http://www.wikidata.org/entity/Q30146133,François-Bernard Cocquard,1,1700,Dijon,"poète ou poétesse, écrivain ou écrivaine",Q142 | Q70972,,Q150,,Q6581097,,Q36180 | Q40348 | Q49757,avocat ou avocate | poète ou poétesse | écrivain ou écrivaine,Q36180 | Q49757,Q40348,da | de | en | es | fr | it | nl | pl | pt | sv,de | en | fr | nl,1,1,10,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
