wikidata_id,name,language_edition,has_article,wikipedia_sitelink_count,gender_category,affiliation_category,place_affiliation_category,best_place_candidate_affiliation,top_place_candidate_affiliations,place_affiliation_review_status,top_candidate_affiliations,affiliation_review_status,has_duplicate_wikidata_id,viaf_has_conflict
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,dewiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,itwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,eswiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,plwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,ruwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,ukwiki,False,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,nlwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,ptwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,svwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,dawiki,False,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,frwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,enwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,dewiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,itwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,eswiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,plwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,ruwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,ukwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,nlwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,ptwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,svwiki,True,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,dawiki,False,38,male,Greek,France,France,France,tentative_place,Greek,tentative,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,frwiki,True,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,enwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,dewiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,itwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,eswiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,plwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,ruwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,ukwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,nlwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,ptwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,svwiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,dawiki,False,1,female,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,frwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,enwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,dewiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,itwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,eswiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,plwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,ruwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,ukwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,nlwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,ptwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,svwiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,dawiki,False,0,male,mixed_or_ambiguous,Dutch,Dutch,Dutch,tentative_place,Dutch | French | German,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,frwiki,True,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,enwiki,True,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,dewiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,itwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,eswiki,True,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,plwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,ruwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,ukwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,nlwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,ptwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,svwiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,dawiki,False,3,male,mixed_or_ambiguous,France,France,France,strong_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,frwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,enwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,dewiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,itwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,eswiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,plwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,ruwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,ukwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,nlwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,ptwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,svwiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,dawiki,False,0,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,frwiki,True,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,enwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,dewiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,itwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,eswiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,plwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,ruwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,ukwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,nlwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,ptwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,svwiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,dawiki,False,1,male,mixed_or_ambiguous,France,France,France,tentative_place,France | French,mixed_top_score,False,False
