wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q60536863,Q60536863,Marie-Anne Carrelet de Marron,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6075481,Q6075481,Pierre-Louis-Auguste de Crusy,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q607938,Q607938,Augustin de Lestrange,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q608062,Q608062,Jean Joseph Dussault,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q60840976,Q60840976,Joseph Marie Durey de Morsan,3,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q60844113,Q60844113,Marie-Joséphine de Lescun de Monbart,4,,France | French | German | Germany,1,0,4,3,8,0.125,0.3333,1 / 8,1 / 3
http://www.wikidata.org/entity/Q60887,Q60887,Jeremy Bentham,4,British,British,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q6102872,Q6102872,Mahmud Raif Efendi,4,Ottoman,Ottoman,5,1,1,5,8,0.625,1.0,5 / 8,5 / 5
http://www.wikidata.org/entity/Q61053327,Q61053327,Q61053327,5,Slovene,Slovene,3,2,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6119403,Q6119403,Jacob Vernet,3,Swiss,Swiss,4,3,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q6120323,Q6120323,Jacques-Ignace de La Touche-Loisy,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6134244,Q6134244,James Freeman,6,Anglophone,Anglophone,4,1,1,4,8,0.5,1.0,4 / 8,4 / 4
http://www.wikidata.org/entity/Q61676960,Q61676960,Honoré-César Ricaud,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q61676969,Q61676969,Henri Camille Girard,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6168816,Q6168816,Jean-Antoine Gleizes,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6170132,Q6170132,Jean Armand Charlemagne,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6170423,Q6170423,Jean Chaufourier,2,France,France,4,1,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q61786693,Q61786693,Laurent-Josse Le Clerc,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q617978,Q617978,Armand Marie Jacques de Chastenet de Puységur,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q61852,Q61852,Friedrich Melchior Grimm,3,,German | Germany,3,2,2,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q62050086,Q62050086,Olivier Pirotte,5,Low Countries,Low Countries,5,4,1,6,8,0.625,0.8333,5 / 8,5 / 6
http://www.wikidata.org/entity/Q62091517,Q62091517,Johann Jakob Thurneysen,4,,France | Swiss,3,2,2,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q62128134,Q62128134,Henri-Alexis Cahaisse,1,France,France,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q62177361,Q62177361,Jacques-Bernard Durey de Noinville,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q622038,Q622038,Joseph Jacotot,2,France,France,4,1,1,5,8,0.5,0.8,4 / 8,4 / 5
