language_edition,affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
plwiki,Occitan,0,11,289,1638,0.67,0.0,0.0,0.0
plwiki,Ottoman,0,1,289,1638,0.06,0.0,0.0,0.0
plwiki,Serbian,0,1,289,1638,0.06,0.0,0.0,0.0
ptwiki,French,164,780,280,1638,47.62,58.57,21.03,1.2299
ptwiki,mixed_or_ambiguous,66,672,280,1638,41.03,23.57,9.82,0.5745
ptwiki,Anglophone,14,16,280,1638,0.98,5.0,87.5,5.102
ptwiki,German,10,20,280,1638,1.22,3.57,50.0,2.9262
ptwiki,Italian,6,22,280,1638,1.34,2.14,27.27,1.597
ptwiki,Polish,4,9,280,1638,0.55,1.43,44.44,2.6
ptwiki,Spanish,4,14,280,1638,0.85,1.43,28.57,1.6824
ptwiki,Russian,3,17,280,1638,1.04,1.07,17.65,1.0288
ptwiki,Danish,2,5,280,1638,0.31,0.71,40.0,2.2903
ptwiki,Greek,2,2,280,1638,0.12,0.71,100.0,5.9167
ptwiki,Corsican,1,1,280,1638,0.06,0.36,100.0,6.0
ptwiki,Czech,1,1,280,1638,0.06,0.36,100.0,6.0
ptwiki,Dutch,1,3,280,1638,0.18,0.36,33.33,2.0
ptwiki,Portuguese,1,1,280,1638,0.06,0.36,100.0,6.0
ptwiki,Swedish,1,5,280,1638,0.31,0.36,20.0,1.1613
ptwiki,Arabic,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,Basque,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,France,0,49,280,1638,2.99,0.0,0.0,0.0
ptwiki,Hungarian,0,4,280,1638,0.24,0.0,0.0,0.0
ptwiki,Low Countries,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,Occitan,0,11,280,1638,0.67,0.0,0.0,0.0
ptwiki,Ottoman,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,Serbian,0,1,280,1638,0.06,0.0,0.0,0.0
ruwiki,French,347,780,581,1638,47.62,59.72,44.49,1.2541
ruwiki,mixed_or_ambiguous,150,672,581,1638,41.03,25.82,22.32,0.6293
ruwiki,Russian,17,17,581,1638,1.04,2.93,100.0,2.8173
ruwiki,Anglophone,14,16,581,1638,0.98,2.41,87.5,2.4592
ruwiki,German,14,20,581,1638,1.22,2.41,70.0,1.9754
ruwiki,Italian,12,22,581,1638,1.34,2.07,54.55,1.5448
ruwiki,Polish,8,9,581,1638,0.55,1.38,88.89,2.5091
ruwiki,Spanish,4,14,581,1638,0.85,0.69,28.57,0.8118
ruwiki,Swedish,4,5,581,1638,0.31,0.69,80.0,2.2258
ruwiki,Danish,2,5,581,1638,0.31,0.34,40.0,1.0968
ruwiki,Dutch,2,3,581,1638,0.18,0.34,66.67,1.8889
ruwiki,Greek,2,2,581,1638,0.12,0.34,100.0,2.8333
ruwiki,Corsican,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,Czech,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,France,1,49,581,1638,2.99,0.17,2.04,0.0569
ruwiki,Hungarian,1,4,581,1638,0.24,0.17,25.0,0.7083
ruwiki,Portuguese,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,Arabic,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,Basque,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,Low Countries,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,Occitan,0,11,581,1638,0.67,0.0,0.0,0.0
ruwiki,Ottoman,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,Serbian,0,1,581,1638,0.06,0.0,0.0,0.0
svwiki,French,239,780,408,1638,47.62,58.58,30.64,1.2302
svwiki,mixed_or_ambiguous,100,672,408,1638,41.03,24.51,14.88,0.5974
svwiki,Anglophone,14,16,408,1638,0.98,3.43,87.5,3.5
svwiki,German,14,20,408,1638,1.22,3.43,70.0,2.8115
svwiki,Italian,11,22,408,1638,1.34,2.7,50.0,2.0149
svwiki,Danish,5,5,408,1638,0.31,1.23,100.0,3.9677
svwiki,Polish,5,9,408,1638,0.55,1.23,55.56,2.2364
svwiki,Swedish,5,5,408,1638,0.31,1.23,100.0,3.9677
svwiki,Russian,4,17,408,1638,1.04,0.98,23.53,0.9423
svwiki,Spanish,3,14,408,1638,0.85,0.74,21.43,0.8706
svwiki,Hungarian,2,4,408,1638,0.24,0.49,50.0,2.0417
svwiki,Corsican,1,1,408,1638,0.06,0.25,100.0,4.1667
svwiki,Czech,1,1,408,1638,0.06,0.25,100.0,4.1667
svwiki,Dutch,1,3,408,1638,0.18,0.25,33.33,1.3889
svwiki,France,1,49,408,1638,2.99,0.25,2.04,0.0836
svwiki,Greek,1,2,408,1638,0.12,0.25,50.0,2.0833
svwiki,Portuguese,1,1,408,1638,0.06,0.25,100.0,4.1667
svwiki,Arabic,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Basque,0,2,408,1638,0.12,0.0,0.0,0.0
svwiki,Low Countries,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Occitan,0,11,408,1638,0.67,0.0,0.0,0.0
svwiki,Ottoman,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,Serbian,0,1,408,1638,0.06,0.0,0.0,0.0
ukwiki,French,121,780,229,1638,47.62,52.84,15.51,1.1096
ukwiki,mixed_or_ambiguous,55,672,229,1638,41.03,24.02,8.18,0.5854
ukwiki,Anglophone,12,16,229,1638,0.98,5.24,75.0,5.3469
ukwiki,German,9,20,229,1638,1.22,3.93,45.0,3.2213
ukwiki,Russian,7,17,229,1638,1.04,3.06,41.18,2.9423
ukwiki,Italian,6,22,229,1638,1.34,2.62,27.27,1.9552
ukwiki,Polish,6,9,229,1638,0.55,2.62,66.67,4.7636
ukwiki,Swedish,3,5,229,1638,0.31,1.31,60.0,4.2258
ukwiki,Greek,2,2,229,1638,0.12,0.87,100.0,7.25
ukwiki,Spanish,2,14,229,1638,0.85,0.87,14.29,1.0235
ukwiki,Corsican,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,Czech,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,Danish,1,5,229,1638,0.31,0.44,20.0,1.4194
ukwiki,Dutch,1,3,229,1638,0.18,0.44,33.33,2.4444
ukwiki,Hungarian,1,4,229,1638,0.24,0.44,25.0,1.8333
ukwiki,Portuguese,1,1,229,1638,0.06,0.44,100.0,7.3333
ukwiki,Arabic,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Basque,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,France,0,49,229,1638,2.99,0.0,0.0,0.0
ukwiki,Low Countries,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Occitan,0,11,229,1638,0.67,0.0,0.0,0.0
ukwiki,Ottoman,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,Serbian,0,1,229,1638,0.06,0.0,0.0,0.0
