wikidata_id,person_id,name,candidate_affiliation,supporting_evidence_count,available_mapped_evidence_count,total_evidence_fields,score_over_total_fields,score_over_available_fields,supporting_evidence_fields,available_mapped_evidence_fields,score_formula,available_score_formula,citizenship_available,citizenship_support,citizenship_candidate_affiliations,native_language_available,native_language_support,native_language_candidate_affiliations,spoken_written_language_available,spoken_written_language_support,spoken_written_language_candidate_affiliations,writing_language_available,writing_language_support,writing_language_candidate_affiliations,birth_place_available,birth_place_support,birth_place_candidate_affiliations,death_place_available,death_place_support,death_place_candidate_affiliations,residence_available,residence_support,residence_candidate_affiliations,work_location_available,work_location_support,work_location_candidate_affiliations
http://www.wikidata.org/entity/Q295548,Q295548,André Chénier,France,2,6,8,0.25,0.3333,citizenship | death_place,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place,2 / 8,2 / 6,True,True,France,True,False,French,True,False,French,True,False,French,True,False,Ottoman,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q295548,Q295548,André Chénier,French,3,6,8,0.375,0.5,native_language | spoken_written_language | writing_language,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 6,True,False,France,True,True,French,True,True,French,True,True,French,True,False,Ottoman,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q295548,Q295548,André Chénier,Ottoman,1,6,8,0.125,0.1667,birth_place,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place,1 / 8,1 / 6,True,False,France,True,False,French,True,False,French,True,False,French,True,True,Ottoman,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2957906,Q2957906,Charles-Albert Demoustier,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2957906,Q2957906,Charles-Albert Demoustier,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2957975,Q2957975,Charles-Augustin Vandermonde,France,2,4,8,0.25,0.5,citizenship | death_place,citizenship | spoken_written_language | birth_place | death_place,2 / 8,2 / 4,True,True,France,False,False,,True,False,French,False,False,,True,False,Portuguese,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2957975,Q2957975,Charles-Augustin Vandermonde,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,Portuguese,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2957975,Q2957975,Charles-Augustin Vandermonde,Portuguese,1,4,8,0.125,0.25,birth_place,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,False,French,False,False,,True,True,Portuguese,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958046,Q2958046,Charles-François François,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958046,Q2958046,Charles-François François,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958057,Q2958057,François-Charles Panard,France,3,6,8,0.375,0.5,citizenship | birth_place | death_place,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 6,True,True,France,True,False,French,True,False,French,True,False,French,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958057,Q2958057,François-Charles Panard,French,3,6,8,0.375,0.5,native_language | spoken_written_language | writing_language,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 6,True,False,France,True,True,French,True,True,French,True,True,French,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958058,Q2958058,Charles-François Racot de Grandval,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958058,Q2958058,Charles-François Racot de Grandval,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958064,Q2958064,Charles-François de Flahaut de La Billarderie,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958064,Q2958064,Charles-François de Flahaut de La Billarderie,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958070,Q2958070,Charles-François Tiphaigne de La Roche,France,3,5,8,0.375,0.6,citizenship | birth_place | death_place,citizenship | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 5,True,True,France,False,False,,True,False,French,True,False,French,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958070,Q2958070,Charles-François Tiphaigne de La Roche,French,2,5,8,0.25,0.4,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place,2 / 8,2 / 5,True,False,France,False,False,,True,True,French,True,True,French,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958085,Q2958085,Charles-Gabriel Porée,France,2,3,8,0.25,0.6667,citizenship | birth_place,citizenship | spoken_written_language | birth_place,2 / 8,2 / 3,True,True,France,False,False,,True,False,French,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2958085,Q2958085,Charles-Gabriel Porée,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2958086,Q2958086,Charles-Gaspard de Toustain de Richebourg,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2958086,Q2958086,Charles-Gaspard de Toustain de Richebourg,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
