wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q22248860,Ruffin Castus Massa,2,2,2,France,France,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q946113,Samuel Elisée Bridel-Brideri,2,2,3,,German | Germany | Swiss,1,1,0.5,3,mixed_place_top_score
http://www.wikidata.org/entity/Q649087,Samuel Henzi,2,2,1,Swiss,Swiss,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q55229494,Samuel de Constant,2,2,1,Swiss,Swiss,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q7422765,Sarah Scott,2,2,1,British,British,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2227888,Sauveur-François Morand,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q4132959,Semen Hamaliya,2,2,2,Russian,Russian,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q4088766,Semyon Bobrov,2,2,1,Russian,Russian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q97187327,Serville,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q3480860,Sewrin,2,2,2,France,France,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1547857,Simon Pelloutier,2,2,2,,German | Germany,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q3484427,Simon Reboulet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q21334405,Simon de Coiffier de Moret,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1505526,Simon-Nicolas-Henri Linguet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q28949675,Simon-Pierre Mérard de Saint-Just,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q7549768,Soame Jenyns,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q464409,Sophie Cottin,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q533324,Sophie Lalive de Bellegarde,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q136788530,Sophie de Chaponay,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2641456,Sophie de Condorcet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q3491073,Sophie de Renneville,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q918355,Stanislas de Boufflers,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q708435,Stanisław Staszic,3,3,5,,Germany | Polish,3,3,1.0,2,mixed_place_top_score
