query (2),Unnamed: 1,Unnamed: 2,Unnamed: 3
person,personLabel,birth,viaf
http://www.wikidata.org/entity/Q6120323,Jacques-Ignace de La Touche,1694-09-18T00:00:00Z,24592893
http://www.wikidata.org/entity/Q1393507,René Louis de Voyer de Paulmy d'Argenson,1694-10-18T00:00:00Z,184925137
http://www.wikidata.org/entity/Q9068,Voltaire,1694-11-21T00:00:00Z,36925746
http://www.wikidata.org/entity/Q364931,Louis de Boissy,1694-11-26T00:00:00Z,51711644
http://www.wikidata.org/entity/Q469944,Gabrielle-Suzanne de Villeneuve,1695-01-01T00:00:00Z,95162717
http://www.wikidata.org/entity/Q24036615,Louis-Balthazar Néel,1695-01-01T00:00:00Z,12438545
http://www.wikidata.org/entity/Q449451,Françoise de Graffigny,1695-02-11T00:00:00Z,36919157
http://www.wikidata.org/entity/Q449451,Françoise de Graffigny,1695-02-11T00:00:00Z,57145602613401362419
http://www.wikidata.org/entity/Q2394665,Louise Anne de Bourbon,1695-06-23T00:00:00Z,45104374
http://www.wikidata.org/entity/Q269865,Marie Thérèse Rodet Geoffrin,1695-06-26T00:00:00Z,39485386
http://www.wikidata.org/entity/Q2960005,Charles Philippe d'Albert de Luynes,1695-07-30T00:00:00Z,66595697
http://www.wikidata.org/entity/Q41795958,Michel Guyot de Merville,1696-02-01T00:00:00Z,353856
http://www.wikidata.org/entity/Q2060812,Paul Landois,1696-02-14T00:00:00Z,30688479
http://www.wikidata.org/entity/Q3370222,Paul-Alexandre Dulard,1696-03-08T00:00:00Z,77257337
http://www.wikidata.org/entity/Q3083296,François-Arnoul Poisson de Roinville,1696-03-15T00:00:00Z,
http://www.wikidata.org/entity/Q297785,"Marie Anne de Vichy-Chamrond, marquise du Deffand",1696-09-25T00:00:00Z,41901817
http://www.wikidata.org/entity/Q3271726,Léonor Jean Soulas,1696-10-02T00:00:00Z,36913627
http://www.wikidata.org/entity/Q3271726,Léonor Jean Soulas,1696-10-02T00:00:00Z,4145602314201361268
http://www.wikidata.org/entity/Q76723,Maurice de Saxe,1696-10-28T00:00:00Z,59061346
http://www.wikidata.org/entity/Q3093542,Gabriel-Charles de Lattaignant,1697-01-01T00:00:00Z,44335440
http://www.wikidata.org/entity/Q3339952,Nicolas-Claude Thieriot,1697-01-01T00:00:00Z,9771184
http://www.wikidata.org/entity/Q19721383,Guyard de Berville,1697-01-01T00:00:00Z,56761583
http://www.wikidata.org/entity/Q311480,Antoine François Prévost,1697-04-01T00:00:00Z,17228264
http://www.wikidata.org/entity/Q2227888,Sauveur François Morand,1697-04-02T00:00:00Z,22200045
http://www.wikidata.org/entity/Q2856864,Antoine de Fériol de Pont-de-Veyle,1697-10-01T00:00:00Z,59159024
http://www.wikidata.org/entity/Q29352578,Michel-Ange Marin,1697-12-23T00:00:00Z,22152805
http://www.wikidata.org/entity/Q3008891,Cyprien Despourrins,1698-01-01T00:00:00Z,61740231
http://www.wikidata.org/entity/Q4251815,Antoine Emmanuel La Barre de Beaumarchais,1698-01-01T00:00:00Z,61594175
http://www.wikidata.org/entity/Q110408102,Jean Vauvilliers,1698-01-01T00:00:00Z,37231733
http://www.wikidata.org/entity/Q2036986,Germain-François Poullain de Saint-Foix,1698-02-05T00:00:00Z,32014756
http://www.wikidata.org/entity/Q61882222,Hippolyte Louis Guerin,1698-04-14T00:00:00Z,71467339
http://www.wikidata.org/entity/Q3085510,François Parfaict,1698-05-10T00:00:00Z,59121062
http://www.wikidata.org/entity/Q2421209,Charles-Hugues Le Febvre de Saint-Marc,1698-06-22T00:00:00Z,89405825
http://www.wikidata.org/entity/Q21534628,Thomas L'Affichard,1698-07-22T00:00:00Z,14901365
http://www.wikidata.org/entity/Q345455,Charles François de Cisternay du Fay,1698-09-14T00:00:00Z,15863258
http://www.wikidata.org/entity/Q3385127,Pierre Gallet,1698-10-01T00:00:00Z,225744694
http://www.wikidata.org/entity/Q98831622,Pierre Quesnel,1699-01-01T00:00:00Z,19848104
http://www.wikidata.org/entity/Q3371054,Paul Desforges-Maillard,1699-04-24T00:00:00Z,68939019
http://www.wikidata.org/entity/Q3161660,Jan Frans Cammaert,1699-05-27T00:00:00Z,41970568
http://www.wikidata.org/entity/Q3386898,Pierre Rémond de Sainte-Albine,1699-05-29T00:00:00Z,24610861
http://www.wikidata.org/entity/Q1499981,François-Alexandre Aubert de La Chesnaye Des Bois,1699-06-17T00:00:00Z,51802151
http://www.wikidata.org/entity/Q1231575,Charles Étienne Louis Camus,1699-08-23T00:00:00Z,59127125
http://www.wikidata.org/entity/Q2909923,Bonaventure,1699-11-01T00:00:00Z,39451014
http://www.wikidata.org/entity/Q3086147,François de Chennevières,1699-11-22T00:00:00Z,316875022
http://www.wikidata.org/entity/Q1460809,Joseph Menon,1700-01-01T00:00:00Z,285833068
http://www.wikidata.org/entity/Q2909923,Bonaventure,1700-01-01T00:00:00Z,39451014
http://www.wikidata.org/entity/Q3093560,Gabriel-Louis Pérau,1700-01-01T00:00:00Z,12313425
http://www.wikidata.org/entity/Q3158735,Jacques Destrées,1700-01-01T00:00:00Z,49570351
