person,personLabel,death_place_ids,death_place_labels,citizenship_ids,citizenship_labels,residence_ids,residence_labels,work_location_ids,work_location_labels,native_language_ids,native_language_labels,spoken_written_language_ids,spoken_written_language_labels,writing_language_ids,writing_language_labels,gender_ids,gender_labels,ethnic_group_ids,ethnic_group_labels,occupation_ids,occupation_labels,notable_work_ids,notable_work_labels,death_coords,writerly_occupation_ids,writerly_occupation_labels,nonwriter_occupation_ids,nonwriter_occupation_labels,notable_work_count,notable_work_genre_ids,notable_work_genre_labels,notable_work_form_ids,notable_work_form_labels,european_label_count,entity_label_languages,european_description_count,entity_description_languages,has_frwiki,has_enwiki,has_dewiki,has_itwiki,has_eswiki,has_plwiki,has_ruwiki,has_ukwiki,has_nlwiki,has_ptwiki,has_svwiki,has_dawiki,wikipedia_sitelink_count
http://www.wikidata.org/entity/Q88320196,Madame Alissant de la Tour,Q18102,Saint-Mandé,Q70972,royaume de France,,,,,,,Q150,français,Q150,français,Q6581072,féminin,,,Q3589290,épistolier ou épistolière,,,Point(2.4177777777778 48.841388888889),Q3589290,épistolier ou épistolière,,,0,,,,,8,de | en | es | fr | it | nl | pt | sv,3,de | en | fr,False,True,False,False,False,False,False,False,False,False,False,False,1
http://www.wikidata.org/entity/Q88385,Johann Heinrich Samuel Formey,Q64,Berlin,Q183,Allemagne,,,Q64,Berlin,,,Q150,français,Q150,français,Q6581097,masculin,,,Q4964182 | Q744738 | Q333634 | Q11774202,philosophe | encyclopédiste | traducteur ou traductrice | essayiste,,,Point(13.383333333333 52.516666666667),Q11774202,essayiste,Q4964182 | Q744738 | Q333634,philosophe | encyclopédiste | traducteur ou traductrice,0,,,,,9,da | de | en | es | fr | it | nl | ru | sv,7,de | en | es | fr | it | nl | uk,True,True,True,False,True,False,True,False,False,False,False,False,8
http://www.wikidata.org/entity/Q88699,Ludwig Ferdinand Huber,Q3012,Ulm,Q183,Allemagne,,,,,,,Q188 | Q150,allemand | français,Q188,allemand,Q6581097,masculin,,,Q1930187 | Q333634 | Q36180 | Q4263842,journaliste | traducteur ou traductrice | écrivain ou écrivaine | critique littéraire,,,Point(9.99155 48.39841),Q1930187 | Q36180 | Q4263842,journaliste | écrivain ou écrivaine | critique littéraire,Q333634,traducteur ou traductrice,0,,,,,11,da | de | en | es | fr | it | nl | pl | pt | ru | sv,8,de | en | es | fr | it | nl | ru | sv,True,True,True,False,False,False,False,False,True,False,True,False,9
http://www.wikidata.org/entity/Q89139992,Mélanie de Boileau,Q621,Versailles,Q142,France,,,,,,,,,,,Q6581072,féminin,,,Q381353 | Q201788,femme de lettres | historien ou historienne,,,Point(2.135 48.805),Q381353,femme de lettres,Q201788,historien ou historienne,0,,,,,8,de | en | es | fr | it | nl | pt | sv,2,en | fr,True,False,False,False,False,False,False,False,False,False,False,False,2
http://www.wikidata.org/entity/Q89709,Ludwig Heinrich von Nicolay,Q1812685,parc de Monrepos,Q34266,Empire russe,,,Q14657,Vyborg,Q188,allemand,Q7737 | Q188 | Q150,russe | allemand | français,Q188,allemand,Q6581097,masculin,,,Q49757 | Q182436 | Q36180 | Q1209498,poète ou poétesse | bibliothécaire | écrivain ou écrivaine | juriste-poète,,,Point(28.727944444444 60.731833333333),Q49757 | Q36180 | Q1209498,poète ou poétesse | écrivain ou écrivaine | juriste-poète,Q182436,bibliothécaire,0,,,,,8,de | en | es | fr | it | nl | ru | sv,9,da | de | en | es | fr | it | nl | ru | sv,True,True,True,False,False,False,True,False,False,False,True,False,8
http://www.wikidata.org/entity/Q902573,Guillaume-François Rouelle,Q90,Paris,Q142,France,,,,,,,Q150,français,,,Q6581097,masculin,,,Q593644 | Q105186 | Q36180 | Q4964182,chimiste | pharmacien ou pharmacienne | écrivain ou écrivaine | philosophe,,,Point(2.352222222222222 48.85666666666667),Q36180,écrivain ou écrivaine,Q593644 | Q105186 | Q4964182,chimiste | pharmacien ou pharmacienne | philosophe,0,,,,,10,da | de | en | es | fr | it | nl | pt | ru | sv,9,da | de | en | es | fr | nl | pl | pt | sv,True,True,True,True,True,False,True,False,False,True,False,False,14
http://www.wikidata.org/entity/Q9068,Voltaire,Q90,Paris,Q142,France,,,,,Q150,français,Q150,français,Q150,français,Q6581097,masculin,,,Q4964182 | Q49757 | Q201788 | Q11774202 | Q214917 | Q18814623 | Q18939491 | Q1209498 | Q18844224 | Q744738 | Q3589290 | Q1238570 | Q36180,philosophe | poète ou poétesse | historien ou historienne | essayiste | dramaturge | autobiographe | diariste | juriste-poète | écrivain ou écrivaine de science-fiction | encyclopédiste | épistolier ou épistolière | politologue | écrivain ou écrivaine,Q215894 | Q140057 | Q377950 | Q2551373 | Q656976 | Q1985932 | Q1431518 | Q19150121 | Q19150125,"Candide, ou l'Optimisme | Zadig ou la Destinée | Zaïre | Lettres philosophiques | Dictionnaire philosophique | L'Ingénu | Le Fanatisme ou Mahomet | Correspondance de Voltaire | CORRESPONDANCE DE VOLTAIRE A FRÉDÉRIC II",Point(2.352222222222222 48.85666666666667),Q49757 | Q11774202 | Q214917 | Q18814623 | Q18939491 | Q1209498 | Q18844224 | Q3589290 | Q36180,poète ou poétesse | essayiste | dramaturge | autobiographe | diariste | juriste-poète | écrivain ou écrivaine de science-fiction | épistolier ou épistolière | écrivain ou écrivaine,Q4964182 | Q201788 | Q744738 | Q1238570,philosophe | historien ou historienne | encyclopédiste | politologue,9,Q128758 | Q133492 | Q1784733 | Q20737410 | Q20737414 | Q223945 | Q35760 | Q80930 | Q8253,satire | lettre | correspondance | conte philosophique | fiction philosophique | roman d'apprentissage | essai | tragédie | fiction,Q149537 | Q25379 | Q3328821 | Q72408184,roman court | pièce de théâtre | récit | pièce de théâtre en alexandrin,12,da | de | en | es | fr | it | nl | pl | pt | ru | sv | uk,11,de | en | es | fr | it | nl | pl | pt | ru | sv | uk,True,True,True,True,True,True,True,True,True,True,True,True,178
http://www.wikidata.org/entity/Q909885,Jean Henri Hassenfratz,Q90,Paris,Q142,France,,,,,,,Q150,français,,,Q6581097,masculin,,,Q593644 | Q169470 | Q1622272 | Q36180 | Q82955,chimiste | physicien ou physicienne | professeur d'université | écrivain ou écrivaine | personnalité politique,,,Point(2.352222222222222 48.85666666666667),Q36180,écrivain ou écrivaine,Q593644 | Q169470 | Q1622272 | Q82955,chimiste | physicien ou physicienne | professeur d'université | personnalité politique,0,,,,,10,da | de | en | es | fr | it | nl | pl | pt | sv,10,da | de | en | es | fr | it | nl | pl | pt | sv,True,True,True,False,True,True,False,False,False,True,True,False,11
http://www.wikidata.org/entity/Q918355,Stanislas de Boufflers,Q90,Paris,Q142,France,,,,,,,Q150,français,Q150,français,Q6581097,masculin,,,Q49757 | Q36180 | Q4964182 | Q744738 | Q12869138 | Q1028181 | Q15296811 | Q11569986 | Q82955,poète ou poétesse | écrivain ou écrivaine | philosophe | encyclopédiste | conteur ou conteuse | artiste peintre | dessinateur ou dessinatrice | graveur ou graveuse d'estampes | personnalité politique,,,Point(2.352222222222222 48.85666666666667),Q49757 | Q36180,poète ou poétesse | écrivain ou écrivaine,Q4964182 | Q744738 | Q12869138 | Q1028181 | Q15296811 | Q11569986 | Q82955,philosophe | encyclopédiste | conteur ou conteuse | artiste peintre | dessinateur ou dessinatrice | graveur ou graveuse d'estampes | personnalité politique,0,,,,,10,da | de | en | es | fr | it | nl | pt | ru | sv,8,da | de | en | fr | it | nl | ru | sv,True,True,True,False,False,False,True,False,False,False,True,False,6
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,Q34588,Selvazzano Dentro,Q4948,république de Venise,Q34588,Selvazzano Dentro,,,,,Q652 | Q35497 | Q150 | Q1860 | Q9288 | Q188,italien | grec ancien | français | anglais | hébreu | allemand,Q652,italien,Q6581097,masculin,,,Q14467526 | Q49757 | Q36180 | Q333634,linguiste | poète ou poétesse | écrivain ou écrivaine | traducteur ou traductrice,,,Point(11.78587 45.38977),Q49757 | Q36180,poète ou poétesse | écrivain ou écrivaine,Q14467526 | Q333634,linguiste | traducteur ou traductrice,0,,,,,10,da | de | en | es | fr | it | nl | pt | ru | sv,5,de | en | fr | it | nl,True,True,True,True,True,False,True,False,False,False,True,False,13
