occupation_id,occupation_label,occupation_wikidata_url,granular_bucket,bucket_family,bucket_method,manual_review_status,is_writerly_seen,is_nonwriter_seen,all_cohorts_entity_count,all_cohorts_assignment_count,notes,french_seed_entity_count,french_seed_assignment_count,global_writers_entity_count,global_writers_assignment_count
Q13381863,escrimeur ou escrimeuse,https://www.wikidata.org/wiki/Q13381863,Craft / Trade / Industry,Material production,label_rule:escrimeur,suggested,False,True,3,4,,1,1,3,3
Q21185790,exégète,https://www.wikidata.org/wiki/Q21185790,Religion / Theology,Intellectual systems,label_rule:exegete,suggested,False,True,3,4,,1,1,3,3
Q12902372,flûtiste,https://www.wikidata.org/wiki/Q12902372,Music / Performance / Theatre,Arts and performance,label_rule:flutiste,suggested,False,True,3,3,,0,0,3,3
Q56447380,fonctionnaire,https://www.wikidata.org/wiki/Q56447380,Law / Administration,Institutional power,label_rule:fonctionnaire,suggested,False,True,3,3,,0,0,3,3
Q1639825,forgeron ou forgeronne,https://www.wikidata.org/wiki/Q1639825,Craft / Trade / Industry,Material production,label_rule:forgeron,suggested,False,True,3,3,,0,0,3,3
Q851436,garde du corps,https://www.wikidata.org/wiki/Q851436,Craft / Trade / Industry,Material production,label_rule:garde du corps,suggested,False,True,3,3,,0,0,3,3
Q2518689,guérisseur ou guérisseuse,https://www.wikidata.org/wiki/Q2518689,Medicine / Health,Scientific knowledge,label_rule:guerisseur,suggested,False,True,3,3,,0,0,3,3
Q116994205,géodésiste,https://www.wikidata.org/wiki/Q116994205,Travel / Geography / Exploration,Mobility and empire,label_rule:geodesiste,suggested,False,True,3,3,,0,0,3,3
Q15462162,historien ou historienne du culturel,https://www.wikidata.org/wiki/Q15462162,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,3,3,,0,0,3,3
Q2135538,historien ou historienne du droit,https://www.wikidata.org/wiki/Q2135538,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,3,4,,1,1,3,3
Q1493121,historien ou historienne militaire,https://www.wikidata.org/wiki/Q1493121,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,3,5,,2,2,3,3
Q157798,horloger ou horlogère,https://www.wikidata.org/wiki/Q157798,Engineering / Technology,Scientific knowledge,label_rule:horloger,suggested,False,True,3,5,,2,2,3,3
Q4988856,hébraïsant,https://www.wikidata.org/wiki/Q4988856,Translation / Philology / Languages,Literary and textual production,label_rule:hebraisant,suggested,False,True,3,3,,0,0,3,3
Q186360,infirmière ou infirmier,https://www.wikidata.org/wiki/Q186360,Medicine / Health,Scientific knowledge,label_rule:infirmiere,suggested,False,True,3,3,,0,0,3,3
Q18524075,ingénieur ou ingénieure des mines,https://www.wikidata.org/wiki/Q18524075,Engineering / Technology,Scientific knowledge,label_rule:ingenieur,suggested,False,True,3,4,,1,1,3,3
Q61820542,inspecteur des impôts,https://www.wikidata.org/wiki/Q61820542,Law / Administration,Institutional power,label_rule:inspecteur des impots,suggested,False,True,3,4,,1,1,3,3
Q16009129,magistrat ou magistrate,https://www.wikidata.org/wiki/Q16009129,Law / Administration,Institutional power,label_rule:magistrat,suggested,False,True,3,4,,1,1,3,3
Q2629392,marionnettiste,https://www.wikidata.org/wiki/Q2629392,Music / Performance / Theatre,Arts and performance,label_rule:marionnettiste,suggested,False,True,3,4,,1,1,3,3
Q215793,maître de chapelle,https://www.wikidata.org/wiki/Q215793,Music / Performance / Theatre,Arts and performance,label_rule:maitre de chapelle,suggested,False,True,3,3,,0,0,3,3
Q1340643,maître d’œuvre,https://www.wikidata.org/wiki/Q1340643,Visual Arts / Architecture / Design,Arts and performance,label_rule:maitre d'oeuvre,suggested,False,True,3,3,,0,0,3,3
Q2393361,maître à danser,https://www.wikidata.org/wiki/Q2393361,Music / Performance / Theatre,Arts and performance,label_rule:maitre a danser,suggested,False,True,3,3,,0,0,3,3
Q117039165,missionnaire chrétien,https://www.wikidata.org/wiki/Q117039165,Religion / Theology,Intellectual systems,label_rule:missionnaire,suggested,False,True,3,3,,0,0,3,3
Q1708232,médailleur ou médailleuse,https://www.wikidata.org/wiki/Q1708232,Visual Arts / Architecture / Design,Arts and performance,label_rule:medailleur,suggested,False,True,3,4,,1,1,3,3
