language_edition,occupation,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,ingénieur civil,2,5,568,14377,0.03,0.35,40.0,11.6667
dawiki,libraire,2,112,568,14377,0.78,0.35,1.79,0.4487
dawiki,lithographe,2,10,568,14377,0.07,0.35,20.0,5.0
dawiki,luthiste,2,4,568,14377,0.03,0.35,50.0,11.6667
dawiki,lépidoptériste,2,4,568,14377,0.03,0.35,50.0,11.6667
dawiki,maitre d'œuvre,2,5,568,14377,0.03,0.35,40.0,11.6667
dawiki,malacologiste,2,6,568,14377,0.04,0.35,33.33,8.75
dawiki,marchand ou marchande,2,77,568,14377,0.54,0.35,2.6,0.6481
dawiki,militant ou militante politique,2,7,568,14377,0.05,0.35,28.57,7.0
dawiki,météorologue,2,7,568,14377,0.05,0.35,28.57,7.0
dawiki,orfèvre graveur ou graveuse,2,30,568,14377,0.21,0.35,6.67,1.6667
dawiki,peintre miniaturiste,2,4,568,14377,0.03,0.35,50.0,11.6667
dawiki,philanthrope,2,21,568,14377,0.15,0.35,9.52,2.3333
dawiki,philosophe du droit,2,2,568,14377,0.01,0.35,100.0,35.0
dawiki,physiologiste,2,8,568,14377,0.06,0.35,25.0,5.8333
dawiki,policier ou policière,2,2,568,14377,0.01,0.35,100.0,35.0
dawiki,propriétaire terrien,2,12,568,14377,0.08,0.35,16.67,4.375
dawiki,précepteur,2,17,568,14377,0.12,0.35,11.76,2.9167
dawiki,prédicateur,2,177,568,14377,1.23,0.35,1.13,0.2846
dawiki,prêtre catholique de rite romain,2,10,568,14377,0.07,0.35,20.0,5.0
dawiki,réalisateur ou réalisatrice,2,12,568,14377,0.08,0.35,16.67,4.375
dawiki,réformateur,2,4,568,14377,0.03,0.35,50.0,11.6667
dawiki,réformateur social,2,5,568,14377,0.03,0.35,40.0,11.6667
dawiki,scénariste,2,10,568,14377,0.07,0.35,20.0,5.0
dawiki,statisticien ou statisticienne,2,12,568,14377,0.08,0.35,16.67,4.375
dawiki,voyageur ou voyageuse,2,35,568,14377,0.24,0.35,5.71,1.4583
dawiki,éducateur ou éducatrice,2,37,568,14377,0.26,0.35,5.41,1.3462
dawiki,évêque catholique,2,45,568,14377,0.31,0.35,4.44,1.129
dawiki,Actor-manager,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,Le Père de mes enfants,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,Legationsrat,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,Spanish–German translator,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,administrateur ou administratrice,1,7,568,14377,0.05,0.18,14.29,3.6
dawiki,agent de change,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,agent ou agente immobilier,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,aide de camp,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,anatomiste,1,12,568,14377,0.08,0.18,8.33,2.25
dawiki,aphoriste,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,architecte d'intérieur,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,archiviste,1,48,568,14377,0.33,0.18,2.08,0.5455
dawiki,archéologue classique,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,aristocrate,1,36,568,14377,0.25,0.18,2.78,0.72
dawiki,armateur,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,assesseur,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,auteur ou autrice de contes,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,auteur tragique,1,8,568,14377,0.06,0.18,12.5,3.0
dawiki,aventurier ou aventurière,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,barrister,1,39,568,14377,0.27,0.18,2.56,0.6667
dawiki,biologiste de l'évolution,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,cadre dirigeant ou cadre dirigeante,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,canoniste,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,carcinologiste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,chancelier,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,chanteur ou chanteuse,1,38,568,14377,0.26,0.18,2.63,0.6923
dawiki,chef militaire,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,chorégraphe,1,8,568,14377,0.06,0.18,12.5,3.0
dawiki,clarinettiste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,clerc régulier,1,18,568,14377,0.13,0.18,5.56,1.3846
dawiki,climatologue,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,collectionneur d'estampes,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,collectionneur de livres,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,combattant ou combattante pour la liberté,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,commandant,1,10,568,14377,0.07,0.18,10.0,2.5714
