source,target,edge_type,weight_count,weight_pct,weight_index,notes
slice:france,friction:unresolved_name_label,slice_to_data_friction,26,0.89,,Name still appears as a raw Wikidata QID.
slice:france,friction:no_mapped_affiliation_candidate,slice_to_data_friction,0,0.0,,No mapped candidate in the formula-backed affiliation evidence table.
slice:france,friction:top_affiliation_lte_1_field,slice_to_data_friction,297,10.16,,Top affiliation candidate is supported by zero or one evidence field.
slice:germany,friction:missing_citizenship,slice_to_data_friction,1456,39.23,,No Wikidata P27 value in the enrichment export.
slice:germany,friction:no_place_context,slice_to_data_friction,16,0.43,,No birth/death/residence/work-location context rows recovered.
slice:germany,friction:no_tracked_wikipedia_article,slice_to_data_friction,905,24.39,,No Wikipedia sitelink in the tracked language-edition matrix.
slice:germany,friction:unresolved_name_label,slice_to_data_friction,67,1.81,,Name still appears as a raw Wikidata QID.
slice:germany,friction:no_mapped_affiliation_candidate,slice_to_data_friction,0,0.0,,No mapped candidate in the formula-backed affiliation evidence table.
slice:germany,friction:top_affiliation_lte_1_field,slice_to_data_friction,502,13.53,,Top affiliation candidate is supported by zero or one evidence field.
slice:british,friction:missing_citizenship,slice_to_data_friction,433,20.63,,No Wikidata P27 value in the enrichment export.
slice:british,friction:no_place_context,slice_to_data_friction,503,23.96,,No birth/death/residence/work-location context rows recovered.
slice:british,friction:no_tracked_wikipedia_article,slice_to_data_friction,318,15.15,,No Wikipedia sitelink in the tracked language-edition matrix.
slice:british,friction:unresolved_name_label,slice_to_data_friction,16,0.76,,Name still appears as a raw Wikidata QID.
slice:british,friction:no_mapped_affiliation_candidate,slice_to_data_friction,0,0.0,,No mapped candidate in the formula-backed affiliation evidence table.
slice:british,friction:top_affiliation_lte_1_field,slice_to_data_friction,749,35.68,,Top affiliation candidate is supported by zero or one evidence field.
slice:china,friction:missing_citizenship,slice_to_data_friction,14,3.3,,No Wikidata P27 value in the enrichment export.
slice:china,friction:no_place_context,slice_to_data_friction,319,75.24,,No birth/death/residence/work-location context rows recovered.
slice:china,friction:no_tracked_wikipedia_article,slice_to_data_friction,166,39.15,,No Wikipedia sitelink in the tracked language-edition matrix.
slice:china,friction:unresolved_name_label,slice_to_data_friction,22,5.19,,Name still appears as a raw Wikidata QID.
slice:china,friction:no_mapped_affiliation_candidate,slice_to_data_friction,0,0.0,,No mapped candidate in the formula-backed affiliation evidence table.
slice:china,friction:top_affiliation_lte_1_field,slice_to_data_friction,330,77.83,,Top affiliation candidate is supported by zero or one evidence field.
