context_family,wikidata_id,person_id,name,place_role,place_id,place_label,matched_token_ids,matched_token_labels,direct_country_ids,direct_country_labels,admin_country_ids,admin_country_labels,context_country_ids,context_country_labels,admin_entity_ids,admin_entity_labels
China/Qing context,http://www.wikidata.org/entity/Q1033189,Q1033189,Changkya Rölpé Dorjé,death_place,Q120314,mont Wutai,Q148,People's Republic of China,Q148,République populaire de Chine,Q148,République populaire de Chine,Q148,République populaire de Chine,Q73119 | Q46913 | Q148,Xinzhou | Shanxi | République populaire de Chine
China/Qing context,http://www.wikidata.org/entity/Q5091225,Q5091225,Cheng Jinfang,birth_place,Q1334036,Jiangdu,Q13426199 | Q148 | Q696242 | Q814959 | Q8733 | Q9903,Republic of China | People's Republic of China | Wang Jingwei regime | Beiyang Government | Qing dynasty | Ming dynasty,Q148,République populaire de Chine,Q13426199 | Q148 | Q188712 | Q814959 | Q865 | Q8733 | Q9903,république de Chine | République populaire de Chine | empire du Japon | gouvernement de Beiyang | Taïwan | dynastie Qing | dynastie Ming,Q13426199 | Q148 | Q188712 | Q814959 | Q865 | Q8733 | Q9903,république de Chine | République populaire de Chine | empire du Japon | gouvernement de Beiyang | Taïwan | dynastie Qing | dynastie Ming,Q57906 | Q10297076 | Q10379930 | Q696242 | Q708865 | Q9573865 | Q11076179 | Q16963 | Q15941713 | Q865 | Q814959 | Q28411809 | Q11133842 | Q10908774 | Q148 | Q8733 | Q9903,"Yangzhou | Q10297076 | Q10379930 | Gouvernement national réorganisé de la République de Chine | Gouvernement réformé de la république de Chine | province du Jiangsu, République de Chine | Jiangsu | Subei Administrative Office District | Taïwan | gouvernement de Beiyang | Jiangnan | Nanzhili | République populaire de Chine | dynastie Qing | dynastie Ming"
China/Qing context,http://www.wikidata.org/entity/Q15930462,Q15930462,Cheng Weiyuan,birth_place,Q42622,Suzhou,Q148,People's Republic of China,Q148,République populaire de Chine,Q148,République populaire de Chine,Q148,République populaire de Chine,Q16963 | Q15935618 | Q17007209 | Q148,Jiangsu | Q15935618 | Southern Jiangsu Administrative Office District | République populaire de Chine
China/Qing context,http://www.wikidata.org/entity/Q8259536,Q8259536,Duansheng Chen,birth_place,Q4970,Hangzhou,Q13426199 | Q148 | Q696242 | Q8733 | Q9903,Republic of China | People's Republic of China | Wang Jingwei regime | Qing dynasty | Ming dynasty,Q148,République populaire de Chine,Q13426199 | Q148 | Q17 | Q188712 | Q865,république de Chine | République populaire de Chine | Japon | empire du Japon | Taïwan,Q13426199 | Q148 | Q17 | Q188712 | Q865,république de Chine | République populaire de Chine | Japon | empire du Japon | Taïwan,Q16967 | Q5089762 | Q696242 | Q708865 | Q188712 | Q148 | Q8733 | Q9903 | Q6821029,Zhejiang | Gouvernement national réorganisé de la République de Chine | Gouvernement réformé de la république de Chine | empire du Japon | République populaire de Chine | dynastie Qing | dynastie Ming | Song
China/Qing context,http://www.wikidata.org/entity/Q1271645,Q1271645,Dudul Dorje,birth_place,Q5869,Lhassa,Q148,People's Republic of China,Q148,République populaire de Chine,Q148,République populaire de Chine,Q148,République populaire de Chine,Q17269 | Q148,région autonome du Tibet | République populaire de Chine
China/Qing context,http://www.wikidata.org/entity/Q1271645,Q1271645,Dudul Dorje,death_place,Q816722,monastère de Benchen,Q13426199 | Q148,Republic of China | People's Republic of China,Q148,République populaire de Chine,Q13426199 | Q148,république de Chine | République populaire de Chine,Q13426199 | Q148,république de Chine | République populaire de Chine,Q1208547 | Q602936 | Q9575728 | Q45833 | Q13426199,xian de Nangqên | préfecture autonome tibétaine de Yushu | province de Qinghai (République de Chine) | Qinghai | république de Chine
China/Qing context,http://www.wikidata.org/entity/Q45692729,Q45692729,Fang Fangpei,birth_place,Q11650262,Qiantang County,Q8733 | Q9903,Qing dynasty | Ming dynasty,Q9683 | Q8733 | Q9903 | Q7462 | Q7313,dynastie Tang | dynastie Qing | dynastie Ming | dynastie Song | dynastie Yuan en Chine,Q1147043 | Q319460 | Q7313 | Q7405 | Q7462 | Q881 | Q9683,Song méridionaux | dynastie Song du Nord | dynastie Yuan en Chine | dynastie Sui | dynastie Song | Vietnam | dynastie Tang,Q1147043 | Q319460 | Q7313 | Q7405 | Q7462 | Q8733 | Q881 | Q9683 | Q9903,Song méridionaux | dynastie Song du Nord | dynastie Yuan en Chine | dynastie Sui | dynastie Song | dynastie Qing | Vietnam | dynastie Tang | dynastie Ming,Q86011206 | Q11102632 | Q11523764 | Q10891838 | Q5966179 | Q319460 | Q1147043,Tam Son | Hangzhou Lu | Hang Prefecture | Liang zhe xi lu | Jiangnan Circuit | dynastie Song du Nord | Song méridionaux
China/Qing context,http://www.wikidata.org/entity/Q45684047,Q45684047,Gan Lirou,birth_place,Q1336081,xian de Fengxin,Q13426199 | Q148 | Q8733 | Q9903,Republic of China | People's Republic of China | Qing dynasty | Ming dynasty,Q148,République populaire de Chine,Q13426199 | Q148 | Q865 | Q8733 | Q9903,république de Chine | République populaire de Chine | Taïwan | dynastie Qing | dynastie Ming,Q13426199 | Q148 | Q865 | Q8733 | Q9903,république de Chine | République populaire de Chine | Taïwan | dynastie Qing | dynastie Ming,Q363326 | Q20063193 | Q15934996 | Q19852006 | Q3497063 | Q6850149 | Q57052 | Q24831157 | Q11135247 | Q148 | Q9903,Yichun | Q20063193 | Q15934996 | Q19852006 | Jiangxi | Nanchang Fu | République populaire de Chine | dynastie Ming
China/Qing context,http://www.wikidata.org/entity/Q890282,Q890282,Gao Fenghan,birth_place,Q10490669,Jiao Zhou,Q13426199 | Q148 | Q814959 | Q8733 | Q9903,Republic of China | People's Republic of China | Beiyang Government | Qing dynasty | Ming dynasty,Q8733 | Q9903 | Q7313,dynastie Qing | dynastie Ming | dynastie Yuan en Chine,Q13426199 | Q148 | Q319460 | Q7313 | Q7462 | Q814959 | Q8733 | Q9683 | Q9903,république de Chine | République populaire de Chine | dynastie Song du Nord | dynastie Yuan en Chine | dynastie Song | gouvernement de Beiyang | dynastie Qing | dynastie Tang | dynastie Ming,Q13426199 | Q148 | Q319460 | Q7313 | Q7462 | Q814959 | Q8733 | Q9683 | Q9903,république de Chine | République populaire de Chine | dynastie Song du Nord | dynastie Yuan en Chine | dynastie Song | gouvernement de Beiyang | dynastie Qing | dynastie Tang | dynastie Ming,Q17066708 | Q11044057 | Q10433744 | Q9574455 | Q28412033 | Q10883177 | Q11141741 | Q9903 | Q319460 | Q43407 | Q43684 | Q16963 | Q40956,"Laizhou Fu | Q11044057 | Yidu Lu | province de Shandong, République de Chine | Q28412033 | Jingdong East Circuit | Henan Circuit | dynastie Ming | dynastie Song du Nord | Shandong | Henan | Jiangsu | Anhui"
China/Qing context,http://www.wikidata.org/entity/Q45521279,Q45521279,Gu Xinfang,birth_place,Q3092999,Xian de Wu,Q13426199 | Q148 | Q814959 | Q8733 | Q9903,Republic of China | People's Republic of China | Beiyang Government | Qing dynasty | Ming dynasty,Q148 | Q13426199 | Q8733 | Q9903 | Q7462 | Q7313 | Q9683,République populaire de Chine | république de Chine | dynastie Qing | dynastie Ming | dynastie Song | dynastie Yuan en Chine | dynastie Tang,Q1147043 | Q13426199 | Q319460 | Q7313 | Q7462 | Q814959 | Q865 | Q8733 | Q9683 | Q9903,Song méridionaux | république de Chine | dynastie Song du Nord | dynastie Yuan en Chine | dynastie Song | gouvernement de Beiyang | Taïwan | dynastie Qing | dynastie Tang | dynastie Ming,Q1147043 | Q13426199 | Q148 | Q319460 | Q7313 | Q7462 | Q814959 | Q865 | Q8733 | Q9683 | Q9903,Song méridionaux | république de Chine | République populaire de Chine | dynastie Song du Nord | dynastie Yuan en Chine | dynastie Song | gouvernement de Beiyang | Taïwan | dynastie Qing | dynastie Tang | dynastie Ming,Q30941237 | Q11625189 | Q46557178 | Q17163651 | Q11061092 | Q113651241 | Q9573865 | Q28411809 | Q11133842 | Q10908774 | Q10891838 | Q5966179 | Q865 | Q814959 | Q8733 | Q9903 | Q319460 | Q1147043,"Q30941237 | Q11625189 | Q46557178 | préfecture de Suzhou | Pingjiang Lu | Su Zhou | province du Jiangsu, République de Chine | Jiangsu | Jiangnan | Nanzhili | Liang zhe xi lu | Jiangnan Circuit | Taïwan | gouvernement de Beiyang | dynastie Qing | dynastie Ming | dynastie Song du Nord | Song méridionaux"
