wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q81397091,Q81397091,Anna Helena Volckmann,1695,,europe,Leipzig
http://www.wikidata.org/entity/Q131693006,Q131693006,Anna M. Lawatsch,1712,,europe,Moravie
http://www.wikidata.org/entity/Q20031801,Q20031801,Anna Maria Vincentius,1697,,europe,Middelbourg
http://www.wikidata.org/entity/Q22957823,Q22957823,Anna Millikin,1764,,europe,comté de Cork
http://www.wikidata.org/entity/Q18916657,Q18916657,Anna Perinet,1769,,europe,Vienne
http://www.wikidata.org/entity/Q115686917,Q115686917,Anna Renata Breyne,1713,,europe,Gdańsk
http://www.wikidata.org/entity/Q105754553,Q105754553,Anna Sidonia Morian,1689,,europe,Tallinn
http://www.wikidata.org/entity/Q108331429,Q108331429,Anne Jeltema,1727,,europe,Leuvarde
http://www.wikidata.org/entity/Q4768392,Q4768392,Anne MacVicar Grant,1755,,europe,Glasgow
http://www.wikidata.org/entity/Q38163226,Q38163226,Anne-Marie Lacroix,1732,,europe,Loudun
http://www.wikidata.org/entity/Q20031816,Q20031816,Anneken Hoogwandt,1700,,europe,Krefeld
http://www.wikidata.org/entity/Q98755031,Q98755031,Annibale Marchese,1686,,europe,Naples
http://www.wikidata.org/entity/Q3618065,Q3618065,Annibale Mariotti,1738,,europe,Pérouse
http://www.wikidata.org/entity/Q23063123,Q23063123,Anselm Elwert,1761,,europe,Dornberg
http://www.wikidata.org/entity/Q850287,Q850287,Antal Brunswick,1746,,europe,Pest
http://www.wikidata.org/entity/Q29096686,Q29096686,Anthony Florian Madinger Willich,1762,,europe,Reszel
http://www.wikidata.org/entity/Q4772538,Q4772538,Anthony Fothergill,1735,,europe,Sedbergh
http://www.wikidata.org/entity/Q16857700,Q16857700,Anthony Highmore,1758,,europe,Londres
http://www.wikidata.org/entity/Q4775427,Q4775427,Antoine Achard,1696,,europe,Genève
http://www.wikidata.org/entity/Q109854723,Q109854723,Antoine Faurichon de La Bardonnie,1770,,europe,château de Verzinas
http://www.wikidata.org/entity/Q12947994,Q12947994,Antoine Favel,1750,,europe,Toulon
http://www.wikidata.org/entity/Q35045617,Q35045617,Antoine Pagi,1690,,europe,Martigues
http://www.wikidata.org/entity/Q55891906,Q55891906,Antoine Vernier Benoît,1769,,europe,Dole
http://www.wikidata.org/entity/Q19956055,Q19956055,Antoine-Alexandre-Joseph Gosse,1744,,europe,Saint-Amand-les-Eaux
http://www.wikidata.org/entity/Q52158506,Q52158506,Antoine-Louis Le Brun,1680,,europe,Paris
http://www.wikidata.org/entity/Q95238764,Q95238764,Anton Adolph von Crentzin,1753,,europe,Munich
http://www.wikidata.org/entity/Q85515291,Q85515291,Anton Bellsolell,1736,,europe,Arenys de Munt
http://www.wikidata.org/entity/Q15432004,Q15432004,Anton Bucher,1746,,europe,Munich
http://www.wikidata.org/entity/Q54553888,Q54553888,Anton Clemens von Toerring-Seefeld,1725,,europe,Munich
http://www.wikidata.org/entity/Q55127553,Q55127553,Anton Cremeri,1752,,europe,Vienne
http://www.wikidata.org/entity/Q95316743,Q95316743,Anton Ferdinand Drexler,1774,,europe,Bohême | Údlice
http://www.wikidata.org/entity/Q110223419,Q110223419,Anton Ferdinand Dyckhoff,1748,,europe,Osnabrück
http://www.wikidata.org/entity/Q3618852,Q3618852,Anton Francesco Menchi,1762,,europe,Pistoia
http://www.wikidata.org/entity/Q65156339,Q65156339,Anton Fuchs,1766,,europe,Mayence
http://www.wikidata.org/entity/Q94618745,Q94618745,Anton Hanykiř,1753,,europe,Prague
http://www.wikidata.org/entity/Q55875889,Q55875889,Anton Hiltenbrand,1721,,europe,Vienne
http://www.wikidata.org/entity/Q94939217,Q94939217,Anton Jakob Brenner,1738,,europe,Vienne
http://www.wikidata.org/entity/Q3618873,Q3618873,Anton Ludovico Antinori,1704,,europe,L'Aquila
http://www.wikidata.org/entity/Q116965006,Q116965006,Anton Maria Vannucchi,1724,,europe,Castelfiorentino
http://www.wikidata.org/entity/Q20242674,Q20242674,Anton Paul Ludwig Carstens,1703,,europe,Wietzendorf
http://www.wikidata.org/entity/Q608777,Q608777,Anton Strnadt,1746,,europe,Náchod
http://www.wikidata.org/entity/Q90403378,Q90403378,Antoni Capdevila i Gili,1722,,europe,Tàrrega
http://www.wikidata.org/entity/Q14593420,Q14593420,Antoni Hartsen,1719,,europe,Amsterdam
http://www.wikidata.org/entity/Q85955315,Q85955315,Antoni d'Armengol i d'Aimeric,1692,,europe,Barcelone
http://www.wikidata.org/entity/Q85835856,Q85835856,Antoni de Banyuls i de Forcada,1750,,europe,Perpignan
http://www.wikidata.org/entity/Q27835198,Q27835198,Antonia Barbiano di Belgiojoso,1730,,europe,Milan
http://www.wikidata.org/entity/Q94526848,Q94526848,Antonie Wutka,1763,,europe,Vienne
http://www.wikidata.org/entity/Q55227931,Q55227931,Antonino Galfo,1740,,europe,Modica
