wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q6774460,Q6774460,Martha Laurens Ramsay,1,Anglophone,Anglophone,4,0,1,4,8,0.5,1.0,4 / 8,4 / 4
http://www.wikidata.org/entity/Q6774469,Q6774469,Martha Llwyd,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q6774591,Q6774591,Martha Wadsworth Brewster,1,Anglophone,Anglophone,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q67759921,Q67759921,Jan Teofil Elsner,4,German,German,3,2,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6776109,Q6776109,Martin Madan,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q67763475,Q67763475,Jean-Louis Mallet,2,,France | Swiss,2,0,2,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6778803,Q6778803,Mary Alcock,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6778888,Q6778888,Mary Ann Kilner,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q6779058,Q6779058,Mary Berry,2,British,British,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6779099,Q6779099,Mary Eleanor Bowes,2,British,British,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6779124,Q6779124,Mary Brown Austin,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6779168,Q6779168,Mary Campbell,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q6779200,Q6779200,Mary Chandler,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6779237,Q6779237,Mary Collier,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6779496,Q6779496,Mary Evans,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6779571,Q6779571,Mary Frampton,0,,,0,0,0,0,8,0.0,,0 / 8,
