wikidata_id,person_id,name,birth_year,slice_id,review_group,has_any_slice_evidence,has_citizenship_evidence,has_place_context_evidence,has_birth_place_context_evidence,citizenship_match_ids,citizenship_match_labels,place_context_match_ids,place_context_match_labels,birth_place_context_match_ids,birth_place_context_match_labels,matched_place_roles,legacy_french_seed_member
http://www.wikidata.org/entity/Q20733586,Q20733586,John Owen,1757,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q20738110,Q20738110,John Parry,1770,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q18756875,Q18756875,John Paul,1707,british,British,True,True,False,False,Q161885,Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q6252493,Q6252493,John Penn,1760,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | residence | work_location,False
http://www.wikidata.org/entity/Q18917424,Q18917424,John Penrose,1713,british,British,True,True,False,False,Q161885,Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q3182294,Q3182294,John Philips,1676,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q3182298,Q3182298,John Philpot Curran,1750,british,British,True,True,True,True,Q27,Ireland,Q145 | Q174193 | Q27,Ireland | United Kingdom | United Kingdom of Great Britain and Ireland,Q174193 | Q27,Ireland | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q18527470,Q18527470,John Pilkington,1730,british,British,True,True,True,True,Q215530,Kingdom of Ireland,Q174193 | Q215530 | Q27,Ireland | Kingdom of Ireland | United Kingdom of Great Britain and Ireland,Q174193 | Q215530 | Q27,Ireland | Kingdom of Ireland | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q3446354,Q3446354,John Pinkerton,1758,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q16933371,Q16933371,John Potter,1734,british,British,True,True,True,True,Q145,United Kingdom,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
