language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
ruwiki,Austrian/Habsburg,3,9,2436,14377,0.06,0.12,33.33,2.0
ruwiki,Lithuanian,2,4,2436,14377,0.03,0.08,50.0,2.6667
ruwiki,Slovene,2,47,2436,14377,0.33,0.08,4.26,0.2424
ruwiki,Ragusan/Dalmatian,1,3,2436,14377,0.02,0.04,33.33,2.0
ruwiki,Romanian/Moldavian,1,2,2436,14377,0.01,0.04,50.0,4.0
ruwiki,Serbian,1,12,2436,14377,0.08,0.04,8.33,0.5
ruwiki,Czech/Slovak,0,3,2436,14377,0.02,0.0,0.0,0.0
ruwiki,Egyptian,0,2,2436,14377,0.01,0.0,0.0,0.0
ruwiki,Haitian/Caribbean,0,4,2436,14377,0.03,0.0,0.0,0.0
ruwiki,Low Countries,0,41,2436,14377,0.29,0.0,0.0,0.0
svwiki,mixed_or_ambiguous,412,2922,1826,14377,20.32,22.56,14.1,1.1102
svwiki,France,283,1457,1826,14377,10.13,15.5,19.42,1.5301
svwiki,British,251,1241,1826,14377,8.63,13.75,20.23,1.5933
svwiki,Swedish,180,209,1826,14377,1.45,9.86,86.12,6.8
svwiki,Germany,171,1280,1826,14377,8.9,9.36,13.36,1.0517
svwiki,no_place_context,146,3883,1826,14377,27.01,8.0,3.76,0.2962
svwiki,Danish,58,111,1826,14377,0.77,3.18,52.25,4.1299
svwiki,Russian,57,367,1826,14377,2.55,3.12,15.53,1.2235
svwiki,Italian,50,550,1826,14377,3.83,2.74,9.09,0.7154
svwiki,Anglophone,38,188,1826,14377,1.31,2.08,20.21,1.5878
svwiki,Spanish,38,428,1826,14377,2.98,2.08,8.88,0.698
svwiki,no_mapped_place_affiliation,35,400,1826,14377,2.78,1.92,8.75,0.6906
svwiki,Swiss,21,132,1826,14377,0.92,1.15,15.91,1.25
svwiki,Dutch,17,159,1826,14377,1.11,0.93,10.69,0.8378
svwiki,Polish,16,120,1826,14377,0.83,0.88,13.33,1.0602
svwiki,China,15,100,1826,14377,0.7,0.82,15.0,1.1714
svwiki,Portuguese,8,72,1826,14377,0.5,0.44,11.11,0.88
svwiki,Ottoman,6,222,1826,14377,1.54,0.33,2.7,0.2143
svwiki,Czech,4,117,1826,14377,0.81,0.22,3.42,0.2716
svwiki,German,4,20,1826,14377,0.14,0.22,20.0,1.5714
svwiki,Hungarian,4,108,1826,14377,0.75,0.22,3.7,0.2933
svwiki,South Asian,4,41,1826,14377,0.29,0.22,9.76,0.7586
svwiki,Slovene,2,47,1826,14377,0.33,0.11,4.26,0.3333
svwiki,Austrian/Habsburg,1,9,1826,14377,0.06,0.05,11.11,0.8333
svwiki,Estonian,1,10,1826,14377,0.07,0.05,10.0,0.7143
svwiki,Greek,1,32,1826,14377,0.22,0.05,3.12,0.2273
svwiki,Haitian/Caribbean,1,4,1826,14377,0.03,0.05,25.0,1.6667
svwiki,Slovak,1,73,1826,14377,0.51,0.05,1.37,0.098
svwiki,Ukrainian,1,8,1826,14377,0.06,0.05,12.5,0.8333
svwiki,Czech/Slovak,0,3,1826,14377,0.02,0.0,0.0,0.0
svwiki,Egyptian,0,2,1826,14377,0.01,0.0,0.0,0.0
svwiki,Lithuanian,0,4,1826,14377,0.03,0.0,0.0,0.0
svwiki,Low Countries,0,41,1826,14377,0.29,0.0,0.0,0.0
svwiki,Ragusan/Dalmatian,0,3,1826,14377,0.02,0.0,0.0,0.0
svwiki,Romanian/Moldavian,0,2,1826,14377,0.01,0.0,0.0,0.0
