wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q1694236,Johann Gottlob Wilhelm Dunkel,German,2,2,1,0.5,birth_place,Köthen (Q1796771),Q12548 | Q55300 | Q7318,True,False,False,False
http://www.wikidata.org/entity/Q1694236,Johann Gottlob Wilhelm Dunkel,Germany,2,2,2,1.0,birth_place | death_place,Köthen (Q1796771) | Wulfen (Q688580),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q21018747,Johann Gotttrau Böhmer,Germany,2,2,2,1.0,birth_place | death_place,Großpostwitz (Q93240),Q1206012 | Q183,True,True,False,False
http://www.wikidata.org/entity/Q1694240,Johann Gottwerth Müller,France,2,2,1,0.5,birth_place,Hambourg (Q1055),Q142 | Q71084,True,False,False,False
http://www.wikidata.org/entity/Q1694240,Johann Gottwerth Müller,German,2,2,1,0.5,birth_place,Hambourg (Q1055),Q1055 | Q12548 | Q2415901 | Q7318,True,False,False,False
http://www.wikidata.org/entity/Q1694240,Johann Gottwerth Müller,Germany,2,2,2,1.0,birth_place | death_place,Hambourg (Q1055) | Itzehoe (Q16073),Q1206012 | Q183 | Q41304 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q94527311,Johann Gualbert Reidinger,Austrian/Habsburg,2,2,1,0.5,death_place,Prague (Q1085),Q131964,False,True,False,False
http://www.wikidata.org/entity/Q94527311,Johann Gualbert Reidinger,Czech,2,2,2,1.0,birth_place | death_place,Prague (Q1085) | Týn nad Vltavou (Q815541),Q213 | Q42585,True,True,False,False
http://www.wikidata.org/entity/Q94527311,Johann Gualbert Reidinger,Czech/Slovak,2,2,1,0.5,death_place,Prague (Q1085),Q1998866 | Q33946,False,True,False,False
http://www.wikidata.org/entity/Q94527311,Johann Gualbert Reidinger,German,2,2,1,0.5,death_place,Prague (Q1085),Q12548,False,True,False,False
http://www.wikidata.org/entity/Q94527311,Johann Gualbert Reidinger,Germany,2,2,1,0.5,death_place,Prague (Q1085),Q28513,False,True,False,False
http://www.wikidata.org/entity/Q1267225,Johann Halcke,Germany,2,2,2,1.0,birth_place | death_place,Uetersen (Q1404),Q183,True,True,False,False
http://www.wikidata.org/entity/Q94918925,Johann Hardorf,German,3,3,2,0.6667,birth_place | work_location,Dresde (Q1731) | Steinkirchen (Q501673),Q12548 | Q164079 | Q55300,True,False,False,True
http://www.wikidata.org/entity/Q94918925,Johann Hardorf,Germany,3,3,3,1.0,birth_place | death_place | work_location,Dresde (Q1731) | Steinkirchen (Q501673) | Waldheim (Q71154),Q1206012 | Q183 | Q27306,True,True,False,True
http://www.wikidata.org/entity/Q1694316,Johann Hartmann Christoph Gräf,German,2,2,2,1.0,birth_place | death_place,Bad Tennstedt (Q534508) | Königsberg (Q4120832),Q12548 | Q55300 | Q7318,True,True,False,False
http://www.wikidata.org/entity/Q1694316,Johann Hartmann Christoph Gräf,Germany,2,2,2,1.0,birth_place | death_place,Bad Tennstedt (Q534508) | Königsberg (Q4120832),Q1206012 | Q183 | Q27306 | Q38872 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q1694316,Johann Hartmann Christoph Gräf,Russian,2,2,1,0.5,death_place,Königsberg (Q4120832),Q15180 | Q34266,False,True,False,False
http://www.wikidata.org/entity/Q1694339,Johann Heinrich August Schulze,German,3,3,1,0.3333,birth_place,Nordhausen (Q7033),Q12548,True,False,False,False
http://www.wikidata.org/entity/Q1694339,Johann Heinrich August Schulze,Germany,3,3,3,1.0,birth_place | death_place | work_location,Blankenburg (Q525960) | Nordhausen (Q7033) | Osterode am Harz (Q327727),Q183,True,True,False,True
http://www.wikidata.org/entity/Q18603930,Johann Heinrich Behrens,German,2,2,1,0.5,death_place,Wolfenbüttel (Q4122),Q830084,False,True,False,False
http://www.wikidata.org/entity/Q18603930,Johann Heinrich Behrens,Germany,2,2,2,1.0,birth_place | death_place,Lübben (Spreewald) (Q584815) | Wolfenbüttel (Q4122),Q183,True,True,False,False
http://www.wikidata.org/entity/Q55123616,Johann Heinrich Brumleu,German,2,2,1,0.5,birth_place,Magdebourg (Q1733),Q12548 | Q2415901 | Q55300 | Q7318,True,False,False,False
http://www.wikidata.org/entity/Q55123616,Johann Heinrich Brumleu,Germany,2,2,2,1.0,birth_place | death_place,Bodenburg (Q889475) | Magdebourg (Q1733),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q95337095,Johann Heinrich Bücking,Germany,1,1,1,1.0,birth_place,Marbourg (Q3869),Q183 | Q43287,True,False,False,False
http://www.wikidata.org/entity/Q75385,Johann Heinrich Callenberg,German,2,2,2,1.0,birth_place | death_place,Halle-sur-Saale (Q2814) | Molschleben (Q552260),Q12548 | Q2415901 | Q55300 | Q7318,True,True,False,False
