token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,place_count,example_places,example_names
admin_country,Q212056,République populaire mongole,https://www.wikidata.org/wiki/Q212056,3,3,1,Oulan-Bator,3rd Jebtsundamba Khutughtu | Lobzang Tenpai Dronme | Zhavzan Luvsantu̇vdėnvaanchigzhigmėdzhamt︠s︡
admin_country,Q221,Macédoine du Nord,https://www.wikidata.org/wiki/Q221,3,2,2,Lazaropolé | monastère de Lechok,Gyurchin Kokale | Kiril Peïtchinovitch
admin_country,Q232,Kazakhstan,https://www.wikidata.org/wiki/Q232,3,2,2,Bayanaoul | district de Djamboul,Bukhar-zhirau Kalmakanov | Q12543335
admin_country,Q245160,République démocratique de Géorgie,https://www.wikidata.org/wiki/Q245160,3,3,3,Haghpat | Telavi | Vaqiri,Anton Ier de Géorgie | Iona Khelashvili | Sayat-Nova
admin_country,Q37024,Serbie-et-Monténégro,https://www.wikidata.org/wiki/Q37024,3,2,3,Cetinje | Kazanci | Njeguši,Petar I Petrović-Njegoš | Tešan Podrugović
admin_country,Q424,Cambodge,https://www.wikidata.org/wiki/Q424,3,3,2,Huế | Krong Kep,Mạc Thiên Tứ | Nguyễn Du | Thì Nhậm Ngô
admin_country,Q838261,république fédérale de Yougoslavie,https://www.wikidata.org/wiki/Q838261,3,2,3,Cetinje | Kazanci | Njeguši,Petar I Petrović-Njegoš | Tešan Podrugović
admin_country,Q863,Tadjikistan,https://www.wikidata.org/wiki/Q863,3,3,3,Asht | Gulkhani | Hisor,Mohammad Sharif Golkhani | Q25514485 | Q4286280
admin_country,Q889,Afghanistan,https://www.wikidata.org/wiki/Q889,3,2,3,Hérat | Kandahâr | Kheyrabad,Ahmad Shâh | Sayyodiy
admin_country,Q928,Philippines,https://www.wikidata.org/wiki/Q928,3,2,2,Manille | Tondo,José de la Cruz | Luis Rodríguez-Varela
direct_country,Q1005,Gambie,https://www.wikidata.org/wiki/Q1005,3,3,2,Afrique de l’Ouest | Sénégambie,Jeffrey Brace | Mungo Park | Phillis Wheatley
direct_country,Q1006,Guinée,https://www.wikidata.org/wiki/Q1006,3,3,2,Afrique de l’Ouest | Guinée,Ignatius Sancho | Jeffrey Brace | Mungo Park
direct_country,Q1049,Soudan,https://www.wikidata.org/wiki/Q1049,3,2,2,Dongola | Khartoum,Giovanni Battista Brocchi | Ibrahim-Bey
direct_country,Q12544,Empire byzantin,https://www.wikidata.org/wiki/Q12544,3,3,1,Tokat,Derviş Ahmed | Q31189844 | Seyyid Hasan Paşa
direct_country,Q207272,Deuxième République de Pologne,https://www.wikidata.org/wiki/Q207272,3,3,3,Bahdanava | Bienica | Lušnieva,Józef Kopeć | Kazimierz Kontrym | Kiprijonas Lukauskas
direct_country,Q212056,République populaire mongole,https://www.wikidata.org/wiki/Q212056,3,3,1,Oulan-Bator,3rd Jebtsundamba Khutughtu | Lobzang Tenpai Dronme | Zhavzan Luvsantu̇vdėnvaanchigzhigmėdzhamt︠s︡
direct_country,Q221,Macédoine du Nord,https://www.wikidata.org/wiki/Q221,3,2,2,Lazaropolé | monastère de Lechok,Gyurchin Kokale | Kiril Peïtchinovitch
direct_country,Q241,Cuba,https://www.wikidata.org/wiki/Q241,3,3,3,Bayamo | Cuba | Matanzas,Manuel del Socorro Rodríguez | Thérèse Jeanne Julienne Bretton des Chapelles | Tomás Romay
direct_country,Q2444884,Tibet,https://www.wikidata.org/wiki/Q2444884,3,3,1,Kham,Katok Rigdzin Chenpo Tsewang Norbu | Situ Panchen | Yeshe Lobzang Tenpai Gonpo
direct_country,Q763,Saint-Christophe-et-Niévès,https://www.wikidata.org/wiki/Q763,3,3,3,Charlestown | Saint-Christophe | Saint-Christophe-et-Niévès,Alexander Hamilton | George Howe | James Grainger
direct_country,Q863,Tadjikistan,https://www.wikidata.org/wiki/Q863,3,3,3,Asht | Gulkhani | Hisor,Mohammad Sharif Golkhani | Q25514485 | Q4286280
direct_country,Q928,Philippines,https://www.wikidata.org/wiki/Q928,3,2,2,Manille | Tondo,José de la Cruz | Luis Rodríguez-Varela
admin_country,Q1013,Lesotho,https://www.wikidata.org/wiki/Q1013,2,2,1,cap de Bonne-Espérance,Johanna Engela Swellengrebel | Nicolas-Louis de Lacaille
admin_country,Q1027,Maurice,https://www.wikidata.org/wiki/Q1027,2,2,1,Port-Louis,Charles de Longchamps | Francisco Noroña
admin_country,Q1030,Namibie,https://www.wikidata.org/wiki/Q1030,2,2,1,cap de Bonne-Espérance,Johanna Engela Swellengrebel | Nicolas-Louis de Lacaille
admin_country,Q1033,Nigeria,https://www.wikidata.org/wiki/Q1033,2,2,2,Abaji | Sokoto,Abd al-Rahman Tsatsa | Ousmane dan Fodio
admin_country,Q1050,Eswatini,https://www.wikidata.org/wiki/Q1050,2,2,1,cap de Bonne-Espérance,Johanna Engela Swellengrebel | Nicolas-Louis de Lacaille
admin_country,Q117,Ghana,https://www.wikidata.org/wiki/Q117,2,2,2,Ajumako | Axim,Anton Wilhelm Amo | Quobna Ottobah Cugoano
admin_country,Q12536,califat abbasside,https://www.wikidata.org/wiki/Q12536,2,2,1,Kadhimiya,Alʼuzry | Muhammad Zayni al-Baghdadi
admin_country,Q1277557,République fédérative de Yougoslavie,https://www.wikidata.org/wiki/Q1277557,2,1,2,Cetinje | Njeguši,Petar I Petrović-Njegoš
admin_country,Q132856,République socialiste soviétique d'Arménie,https://www.wikidata.org/wiki/Q132856,2,2,2,Ochakan | Vanevan,Grigor Oshakantsi | Âşık Allahverdi
admin_country,Q146720,mandat britannique de Mésopotamie,https://www.wikidata.org/wiki/Q146720,2,2,1,Kadhimiya,Alʼuzry | Muhammad Zayni al-Baghdadi
admin_country,Q16056854,royaume de Hongrie,https://www.wikidata.org/wiki/Q16056854,2,2,2,Canta | Cernatu de Sus,Demeter Ágota | Péter Bod
admin_country,Q16838852,occupation allemande du Monténégro (1943-1944),https://www.wikidata.org/wiki/Q16838852,2,1,2,Cetinje | Njeguši,Petar I Petrović-Njegoš
admin_country,Q178084,Ilkhanat,https://www.wikidata.org/wiki/Q178084,2,2,1,Kadhimiya,Alʼuzry | Muhammad Zayni al-Baghdadi
admin_country,Q188553,République batave,https://www.wikidata.org/wiki/Q188553,2,2,1,cap de Bonne-Espérance,Johanna Engela Swellengrebel | Nicolas-Louis de Lacaille
admin_country,Q222,Albanie,https://www.wikidata.org/wiki/Q222,2,2,2,Fier | Tirana,Nezim Frakulla | Zenel Bastari
admin_country,Q223936,Royaume d'Italie (1805-1814),https://www.wikidata.org/wiki/Q223936,2,2,2,"Zaton | Šumet, Dubrovnik",Georg Anton Hidja | Luko Stulić
admin_country,Q241,Cuba,https://www.wikidata.org/wiki/Q241,2,2,2,Bayamo | Matanzas,Manuel del Socorro Rodríguez | Thérèse Jeanne Julienne Bretton des Chapelles
admin_country,Q25230,bailliage de Guernesey,https://www.wikidata.org/wiki/Q25230,2,1,2,Guernesey | Saint-Pierre-Port,Richard Saumarez
admin_country,Q2597352,Royaume de Norvège,https://www.wikidata.org/wiki/Q2597352,2,2,2,Skien | Stavanger,Jens Zetlitz | Magdalene Sophie Buchholm
admin_country,Q265,Ouzbékistan,https://www.wikidata.org/wiki/Q265,2,1,1,Boukhara,Muhammad Yоqub ibn Doniyolbiy
admin_country,Q273874,Bouyides,https://www.wikidata.org/wiki/Q273874,2,2,1,Kadhimiya,Alʼuzry | Muhammad Zayni al-Baghdadi
admin_country,Q324470,Qara Qoyunlu,https://www.wikidata.org/wiki/Q324470,2,2,1,Kadhimiya,Alʼuzry | Muhammad Zayni al-Baghdadi
admin_country,Q347,Liechtenstein,https://www.wikidata.org/wiki/Q347,2,2,1,Balzers,F. A. Nuth | Johannes Schreiber
admin_country,Q386496,royaume du Monténégro,https://www.wikidata.org/wiki/Q386496,2,1,2,Cetinje | Njeguši,Petar I Petrović-Njegoš
admin_country,Q423,Corée du Nord,https://www.wikidata.org/wiki/Q423,2,2,2,Hoeryŏng | Munchŏn,Li Hyun-sang | Pak Che-ga
admin_country,Q516160,République démocratique hongroise,https://www.wikidata.org/wiki/Q516160,2,2,2,Canta | Cernatu de Sus,Demeter Ágota | Péter Bod
admin_country,Q545205,République socialiste fédérative soviétique de Transcaucasie,https://www.wikidata.org/wiki/Q545205,2,2,2,Haghpat | Ochakan,Grigor Oshakantsi | Sayat-Nova
admin_country,Q555994,Aq Qoyunlu,https://www.wikidata.org/wiki/Q555994,2,2,1,Kadhimiya,Alʼuzry | Muhammad Zayni al-Baghdadi
admin_country,Q55659450,Q55659450,https://www.wikidata.org/wiki/Q55659450,2,2,2,Telavi | Vaqiri,Anton Ier de Géorgie | Iona Khelashvili
admin_country,Q600018,Royaume de Hongrie,https://www.wikidata.org/wiki/Q600018,2,2,2,Canta | Cernatu de Sus,Demeter Ágota | Péter Bod
admin_country,Q616992,État indépendant du Monténégro,https://www.wikidata.org/wiki/Q616992,2,1,2,Cetinje | Njeguši,Petar I Petrović-Njegoš
admin_country,Q625380,royaume de Hongrie orientale,https://www.wikidata.org/wiki/Q625380,2,2,2,Canta | Cernatu de Sus,Demeter Ágota | Péter Bod
admin_country,Q62589,Suède-Norvège,https://www.wikidata.org/wiki/Q62589,2,2,2,Skien | Stavanger,Jens Zetlitz | Magdalene Sophie Buchholm
admin_country,Q62651,royaume de Danemark et de Norvège,https://www.wikidata.org/wiki/Q62651,2,2,2,Skien | Stavanger,Jens Zetlitz | Magdalene Sophie Buchholm
admin_country,Q63158027,Perse qadjare,https://www.wikidata.org/wiki/Q63158027,2,1,1,Xanağa,Mahammadqulu Salik Ordubadi
admin_country,Q655621,Principauté de Transylvanie,https://www.wikidata.org/wiki/Q655621,2,2,2,Canta | Cernatu de Sus,Demeter Ágota | Péter Bod
admin_country,Q68678,république socialiste soviétique de Biélorussie,https://www.wikidata.org/wiki/Q68678,2,2,2,Chklow | Piacieŭščyna,Baruch Schick of Shklov | Ignacy Bykowski
admin_country,Q68682,République soviétique populaire de Boukhara,https://www.wikidata.org/wiki/Q68682,2,1,1,Boukhara,Muhammad Yоqub ibn Doniyolbiy
admin_country,Q718374,"État des Slovènes, Croates et Serbes",https://www.wikidata.org/wiki/Q718374,2,2,2,"Zaton | Šumet, Dubrovnik",Georg Anton Hidja | Luko Stulić
admin_country,Q733,Paraguay,https://www.wikidata.org/wiki/Q733,2,2,2,Santa María | Villarrica,Manuel Antonio Talavera | Nicolás Yapuguay
admin_country,Q750,Bolivie,https://www.wikidata.org/wiki/Q750,2,2,2,Cochabamba | Potosí,Josepha de Escurrechea | Thaddaeus Haenke
