slice_id,context_label,context_order,gender_category,language_edition,slice_gender_entities,represented_entities,representation_pct,global_gender_entities,global_gender_representation_pct,representation_index_vs_global_gender,notes
british,British,2,male,enwiki,1679,1302,77.55,12505,34.96,2.2182,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,eswiki,1679,277,16.5,12505,12.2,1.3525,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,frwiki,1679,552,32.88,12505,24.26,1.3553,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,itwiki,1679,318,18.94,12505,14.53,1.3035,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,nlwiki,1679,158,9.41,12505,6.24,1.508,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,plwiki,1679,203,12.09,12505,8.53,1.4174,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,ptwiki,1679,222,13.22,12505,6.77,1.9527,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,ruwiki,1679,336,20.01,12505,17.49,1.1441,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,svwiki,1679,266,15.84,12505,11.81,1.3412,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,ukwiki,1679,146,8.7,12505,6.21,1.401,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,dawiki,1,0,0.0,1,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,dewiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,enwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,eswiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,frwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,itwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,nlwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,plwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,ptwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,ruwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,svwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,multiple_or_ambiguous,ukwiki,1,1,100.0,1,100.0,1.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,dawiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,dewiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,enwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,eswiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,frwiki,1,0,0.0,128,0.78,0.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,itwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,nlwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,plwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,ptwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,ruwiki,1,0,0.0,128,0.78,0.0,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,svwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,unknown,ukwiki,1,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,dawiki,168,0,0.0,1743,2.52,0.0,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,dewiki,168,1,0.6,1743,24.44,0.0245,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,enwiki,168,15,8.93,1743,53.47,0.167,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,eswiki,168,2,1.19,1743,17.73,0.0671,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,frwiki,168,4,2.38,1743,25.53,0.0932,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,itwiki,168,1,0.6,1743,13.25,0.0453,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,nlwiki,168,0,0.0,1743,8.61,0.0,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,plwiki,168,0,0.0,1743,7.97,0.0,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,ptwiki,168,1,0.6,1743,7.17,0.0837,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,ruwiki,168,0,0.0,1743,14.17,0.0,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,svwiki,168,9,5.36,1743,19.97,0.2684,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,female,ukwiki,168,0,0.0,1743,5.22,0.0,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,male,dawiki,242,2,0.83,12505,4.19,0.1981,Article presence in tracked editions; not article depth or cultural importance.
china,China/Qing,3,male,dewiki,242,21,8.68,12505,28.41,0.3055,Article presence in tracked editions; not article depth or cultural importance.
