slice_id,context_label,context_order,metric,metric_label,entity_count,denominator,pct,notes,aggregation_level,gender_category,granular_bucket,bucket_family
france,France,0,top_affiliation_tie,Top affiliation tie,91,330,27.58,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Religion / Theology,Intellectual systems
france,France,0,low_evidence_affiliation,Low-evidence affiliation,2,156,1.28,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Science / Natural History,Scientific knowledge
france,France,0,missing_country_of_citizenship,Missing citizenship,19,156,12.18,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Science / Natural History,Scientific knowledge
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,156,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Science / Natural History,Scientific knowledge
france,France,0,no_place_context,No place context,1,156,0.64,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Science / Natural History,Scientific knowledge
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,8,156,5.13,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Science / Natural History,Scientific knowledge
france,France,0,top_affiliation_tie,Top affiliation tie,25,156,16.03,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Science / Natural History,Scientific knowledge
france,France,0,low_evidence_affiliation,Low-evidence affiliation,5,95,5.26,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Sociability / Patronage / Court,Social and cultural mediation
france,France,0,missing_country_of_citizenship,Missing citizenship,8,95,8.42,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Sociability / Patronage / Court,Social and cultural mediation
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,95,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Sociability / Patronage / Court,Social and cultural mediation
france,France,0,no_place_context,No place context,3,95,3.16,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Sociability / Patronage / Court,Social and cultural mediation
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,7,95,7.37,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Sociability / Patronage / Court,Social and cultural mediation
france,France,0,top_affiliation_tie,Top affiliation tie,29,95,30.53,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Sociability / Patronage / Court,Social and cultural mediation
france,France,0,low_evidence_affiliation,Low-evidence affiliation,0,17,0.0,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Social Reform / Activism,Social and cultural mediation
france,France,0,missing_country_of_citizenship,Missing citizenship,0,17,0.0,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Social Reform / Activism,Social and cultural mediation
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,17,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Social Reform / Activism,Social and cultural mediation
france,France,0,no_place_context,No place context,0,17,0.0,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Social Reform / Activism,Social and cultural mediation
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,0,17,0.0,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Social Reform / Activism,Social and cultural mediation
france,France,0,top_affiliation_tie,Top affiliation tie,7,17,41.18,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Social Reform / Activism,Social and cultural mediation
france,France,0,low_evidence_affiliation,Low-evidence affiliation,19,378,5.03,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Translation / Philology / Languages,Literary and textual production
france,France,0,missing_country_of_citizenship,Missing citizenship,48,378,12.7,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Translation / Philology / Languages,Literary and textual production
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,378,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Translation / Philology / Languages,Literary and textual production
france,France,0,no_place_context,No place context,8,378,2.12,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Translation / Philology / Languages,Literary and textual production
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,53,378,14.02,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Translation / Philology / Languages,Literary and textual production
france,France,0,top_affiliation_tie,Top affiliation tie,103,378,27.25,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Translation / Philology / Languages,Literary and textual production
france,France,0,low_evidence_affiliation,Low-evidence affiliation,1,68,1.47,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Travel / Geography / Exploration,Mobility and empire
france,France,0,missing_country_of_citizenship,Missing citizenship,6,68,8.82,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Travel / Geography / Exploration,Mobility and empire
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,68,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Travel / Geography / Exploration,Mobility and empire
france,France,0,no_place_context,No place context,2,68,2.94,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Travel / Geography / Exploration,Mobility and empire
