wikidata_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_checked_box_count,second_checked_box_count,top_score_share,top_candidate_tie_count,affiliation_review_status
http://www.wikidata.org/entity/Q110214437,Adam Gottlob Thoroup,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q349948,Adam Kazimierz Czartoryski,1,Polish,Polish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q9139804,Adam Korczyński,1,Polish,Polish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q9140608,Adam Labecki,1,Polish,Polish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q9139955,Adam Malczewski,1,Polish,Polish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q95635550,Adam Nicolaus Riedner,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q95283934,Adam Powstański,2,,Polish | Russian,1,1,1.0,2,mixed_top_score
http://www.wikidata.org/entity/Q97042836,Adam Siemaszko,1,Polish,Polish,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q9381,Adam Smith,2,Anglophone,Anglophone,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q350504,Adam Stanisław Naruszewicz,1,Polish,Polish,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q24263105,Adam Turno,1,Polish,Polish,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4679934,Adam Walker,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4394258,Adam Wawrzyniec Rzewuski,1,Polish,Polish,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q159481,Adam Weishaupt,1,German,German,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q18882135,Adam Zacharias Schirach,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,3,German,German,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q94822949,Adam von Klein,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q319635,Adamántios Koraïs,4,Greek,Greek,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q131100580,Adelheid Busch,1,German,German,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q16369846,Adeodatus Babik,1,Armenian,Armenian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q62391233,Adine Joliveau de Ségrais,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q94913076,Adolf Friedrich von Hodenberg,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q121870,Adolf Friedrich von Reinhard,2,,German | Germany,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q21039207,Adolf Friedrich von Witzendorff,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q61719359,Adolf Julius Freiherr Lauer von Münchhofen,1,German,German,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q73359,Adolf Müllner,2,German,German,3,1,0.75,1,strong
http://www.wikidata.org/entity/Q1539931,Adolf Wagner,2,,German | Germany,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q95312348,Adolph Anton,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q365275,Adolph Bogislav Grulich,2,,German | Germany,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q94921551,Adolph Dupré,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q12300583,Adolph Gotthard Carstens,1,Danish,Danish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q106520650,Adolph Heinrich Meltzer,1,German,German,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q213681,Adolph Knigge,2,German,German,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q365958,Adolphine von Werdeck,2,,German | Germany,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q13428394,Adriaan Loosjes,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4684780,Adriaan Pieterszoon Loosjes,1,Dutch,Dutch,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q19729695,Adriaan Spinniker,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4684788,Adriaan Van der Willigen,1,Dutch,Dutch,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q55902342,Adriaan van Solingen,1,Dutch,Dutch,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q15720278,Adrian Doubrowsky,1,Russian,Russian,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q55194134,Adrian Grob,1,Swiss,Swiss,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q16160281,Adrian Kemter,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4148940,Adrian Moiseevich Gribovsky,1,Russian,Russian,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q107618589,Adrianus Bruggemans,3,,Dutch | French | German,1,1,1.0,3,mixed_top_score
http://www.wikidata.org/entity/Q109481171,Adrianus Cornelis Schenk,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q2615889,Adrianus Heylen,0,,,0,0,,0,no_mapped_affiliation
