wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q3061049,Eustache Guibaud,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q136791921,Eustache-Nicolas-François de Santeul,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2665049,Eustachy Erazm Sanguszko,2,2,3,,Russian | Ukrainian,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q3061110,Eusèbe de Salverte,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q4423819,Euzebiusz Słowacki,2,2,6,,Austrian/Habsburg | Germany | Lithuanian | Polish | Russian | Ukrainian,1,1,0.5,6,mixed_place_top_score
http://www.wikidata.org/entity/Q1379287,Eva König,2,2,2,,German | Germany,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q5415381,Evan Evans,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q20733036,Evan Lloyd,2,2,1,British,British,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q5415462,Evan Lloyd,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q1381550,Evaristo Pérez de Castro,3,3,1,Spanish,Spanish,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q21542084,Evasio Leone,1,1,1,Italian,Italian,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q4292557,Evdokia Mechtcherskaïa,2,2,1,Russian,Russian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1381956,Everard Scheidius,2,2,2,Dutch,Dutch,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q94530556,Evermod Thaddäus Ruzička,3,3,4,Czech,Czech,3,2,1.0,1,moderate_place
