language_edition,affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
svwiki,Polish,34,235,1826,14377,1.63,1.86,14.47,1.1411
svwiki,British,20,633,1826,14377,4.4,1.1,3.16,0.25
svwiki,China,15,403,1826,14377,2.8,0.82,3.72,0.2929
svwiki,Finnish,14,23,1826,14377,0.16,0.77,60.87,4.8125
svwiki,Hungarian,12,274,1826,14377,1.91,0.66,4.38,0.3455
svwiki,Portuguese,12,109,1826,14377,0.76,0.66,11.01,0.8684
svwiki,Czech,5,53,1826,14377,0.37,0.27,9.43,0.7297
svwiki,Germany,5,55,1826,14377,0.38,0.27,9.09,0.7105
svwiki,Ottoman,5,279,1826,14377,1.94,0.27,1.79,0.1392
svwiki,France,4,115,1826,14377,0.8,0.22,3.48,0.275
svwiki,Greek,2,34,1826,14377,0.24,0.11,5.88,0.4583
svwiki,Persian,2,32,1826,14377,0.22,0.11,6.25,0.5
svwiki,Arabic,1,87,1826,14377,0.61,0.05,1.15,0.082
svwiki,Corsican,1,1,1826,14377,0.01,0.05,100.0,5.0
svwiki,Low Countries,1,13,1826,14377,0.09,0.05,7.69,0.5556
svwiki,Serbian,1,25,1826,14377,0.17,0.05,4.0,0.2941
svwiki,Slovak,1,34,1826,14377,0.24,0.05,2.94,0.2083
svwiki,Swiss,1,50,1826,14377,0.35,0.05,2.0,0.1429
svwiki,Armenian,0,10,1826,14377,0.07,0.0,0.0,0.0
svwiki,Austrian/Habsburg,0,17,1826,14377,0.12,0.0,0.0,0.0
svwiki,Basque,0,8,1826,14377,0.06,0.0,0.0,0.0
svwiki,Catalan,0,17,1826,14377,0.12,0.0,0.0,0.0
svwiki,Croatian,0,21,1826,14377,0.15,0.0,0.0,0.0
svwiki,Hebrew,0,20,1826,14377,0.14,0.0,0.0,0.0
svwiki,Lithuanian,0,3,1826,14377,0.02,0.0,0.0,0.0
svwiki,Occitan,0,18,1826,14377,0.13,0.0,0.0,0.0
svwiki,Ragusan/Dalmatian,0,2,1826,14377,0.01,0.0,0.0,0.0
svwiki,Romanian/Moldavian,0,5,1826,14377,0.03,0.0,0.0,0.0
svwiki,Slovene,0,1,1826,14377,0.01,0.0,0.0,0.0
svwiki,South Asian,0,13,1826,14377,0.09,0.0,0.0,0.0
svwiki,Walloon,0,3,1826,14377,0.02,0.0,0.0,0.0
ukwiki,mixed_or_ambiguous,125,2647,868,14377,18.41,14.4,4.72,0.7822
ukwiki,French,122,893,868,14377,6.21,14.06,13.66,2.2641
ukwiki,Anglophone,120,750,868,14377,5.22,13.82,16.0,2.6475
ukwiki,Russian,86,411,868,14377,2.86,9.91,20.92,3.465
ukwiki,no_mapped_affiliation,86,4167,868,14377,28.98,9.91,2.06,0.342
ukwiki,German,84,993,868,14377,6.91,9.68,8.46,1.4009
ukwiki,Polish,74,235,868,14377,1.63,8.53,31.49,5.2331
ukwiki,Italian,28,667,868,14377,4.64,3.23,4.2,0.6961
ukwiki,Swedish,26,319,868,14377,2.22,3.0,8.15,1.3514
ukwiki,China,22,403,868,14377,2.8,2.53,5.46,0.9036
ukwiki,Spanish,16,504,868,14377,3.51,1.84,3.17,0.5242
ukwiki,Hungarian,13,274,868,14377,1.91,1.5,4.74,0.7853
ukwiki,Ottoman,11,279,868,14377,1.94,1.27,3.94,0.6546
ukwiki,Danish,8,167,868,14377,1.16,0.92,4.79,0.7931
ukwiki,British,7,633,868,14377,4.4,0.81,1.11,0.1841
ukwiki,Greek,5,34,868,14377,0.24,0.58,14.71,2.4167
ukwiki,Persian,5,32,868,14377,0.22,0.58,15.62,2.6364
ukwiki,Portuguese,5,109,868,14377,0.76,0.58,4.59,0.7632
ukwiki,Croatian,3,21,868,14377,0.15,0.35,14.29,2.3333
ukwiki,Czech,3,53,868,14377,0.37,0.35,5.66,0.9459
ukwiki,Dutch,3,266,868,14377,1.85,0.35,1.13,0.1892
ukwiki,Hebrew,3,20,868,14377,0.14,0.35,15.0,2.5
ukwiki,Slovak,3,34,868,14377,0.24,0.35,8.82,1.4583
ukwiki,Arabic,2,87,868,14377,0.61,0.23,2.3,0.377
ukwiki,Germany,2,55,868,14377,0.38,0.23,3.64,0.6053
ukwiki,Serbian,2,25,868,14377,0.17,0.23,8.0,1.3529
ukwiki,Corsican,1,1,868,14377,0.01,0.12,100.0,12.0
ukwiki,Lithuanian,1,3,868,14377,0.02,0.12,33.33,6.0
ukwiki,Romanian/Moldavian,1,5,868,14377,0.03,0.12,20.0,4.0
ukwiki,South Asian,1,13,868,14377,0.09,0.12,7.69,1.3333
ukwiki,Armenian,0,10,868,14377,0.07,0.0,0.0,0.0
ukwiki,Austrian/Habsburg,0,17,868,14377,0.12,0.0,0.0,0.0
ukwiki,Basque,0,8,868,14377,0.06,0.0,0.0,0.0
ukwiki,Catalan,0,17,868,14377,0.12,0.0,0.0,0.0
ukwiki,Finnish,0,23,868,14377,0.16,0.0,0.0,0.0
ukwiki,France,0,115,868,14377,0.8,0.0,0.0,0.0
ukwiki,Low Countries,0,13,868,14377,0.09,0.0,0.0,0.0
ukwiki,Occitan,0,18,868,14377,0.13,0.0,0.0,0.0
ukwiki,Ragusan/Dalmatian,0,2,868,14377,0.01,0.0,0.0,0.0
ukwiki,Slovene,0,1,868,14377,0.01,0.0,0.0,0.0
ukwiki,Swiss,0,50,868,14377,0.35,0.0,0.0,0.0
ukwiki,Walloon,0,3,868,14377,0.02,0.0,0.0,0.0
